country,branches_count,revenue_range,employees_range,industry,year_founded,source,attacked
73.0,0.0,-1.0,4.0,-1.0,1995.0,5.0,1
73.0,4.0,4.0,16.0,1.0,1986.0,5.0,1
30.0,0.0,6.0,33.0,4.0,1994.0,5.0,1
4.0,0.0,-1.0,107.0,-1.0,1975.6,5.0,1
46.0,0.0,4.0,11.0,1.0,1945.0,5.0,1
4.0,0.0,-1.0,-1.0,-1.0,1973.6,5.0,1
34.0,0.0,-1.0,42.0,-1.0,1986.0,5.0,1
73.0,2.0,0.0,49.0,0.0,1997.0,5.0,1
73.0,0.0,-1.0,92.0,-1.0,2018.0,5.0,1
73.0,1.0,2.0,18.0,3.0,1984.0,5.0,1
73.0,0.0,3.0,18.0,2.0,1998.6,5.0,1
7.0,0.0,-1.0,-1.0,-1.0,1969.0,5.0,1
73.0,1.0,3.0,3.0,5.0,1930.0,5.0,1
53.0,0.0,-1.0,-1.0,-1.0,2009.6,5.0,1
73.0,0.0,0.0,73.0,-1.0,1998.0,5.0,1
73.0,0.0,3.0,73.0,3.0,1995.0,5.0,1
73.0,0.0,-1.0,107.0,-1.0,1969.0,5.0,1
64.0,0.0,-1.0,2.0,-1.0,1992.2,5.0,1
73.0,1.0,2.0,107.0,5.0,1980.0,5.0,1
73.0,0.0,3.0,42.0,5.0,1974.6,5.0,1
73.0,0.0,3.0,42.0,2.0,2005.0,5.0,1
45.0,0.0,-1.0,107.0,-1.0,1991.0,5.0,1
48.0,0.0,-1.0,11.0,-1.0,1984.2,5.0,1
15.0,0.0,2.0,65.0,5.0,1926.0,5.0,1
22.0,2.0,3.0,107.0,2.0,1985.0,5.0,1
23.0,0.0,-1.0,-1.0,-1.0,1970.2,5.0,1
28.0,0.0,3.0,55.0,2.0,1985.0,5.0,1
73.0,1.0,3.0,83.0,2.0,1980.0,5.0,1
13.0,0.0,6.0,35.0,-1.0,1920.0,5.0,1
10.0,0.0,3.0,101.0,2.0,1984.0,5.0,1
73.0,1.0,3.0,64.0,2.0,2010.0,5.0,1
65.0,0.0,2.0,35.0,5.0,1856.0,5.0,1
36.0,0.0,6.0,11.0,4.0,1917.0,5.0,1
22.0,0.0,3.0,107.0,2.0,1951.0,5.0,1
22.0,2.0,3.0,107.0,2.0,1985.0,5.0,1
36.0,0.0,-1.0,-1.0,-1.0,1923.0,5.0,1
40.0,0.0,-1.0,38.0,-1.0,1962.0,5.0,1
