_id,branches_count,company_name,company_status,content,country,deadline,description,display_name,employees_count,employees_range,industry,ispublished,last_seen,latitude,link,longitude,revenue,revenue_range,source,technologies_used,views,year_founded
645e70640258339a252311ed,0,Anton Paar,active,"Anton Paar GmbH, founded in 1922 as a one-man locksmith‘s workshop, today is a globally active high-tech company headquartered in Graz, Austria with 29 sales and service subsidiaries worldwide. The company currently counts 2900 employees. Anton Paar develops and produces high-precision laboratory instruments as well as process measurement technology and provides custom-tailored automation and robotics solutions.

A love of research and high quality standards have made Anton Paar a world market leader in the fields of density measurement, the determination of dissolved CO2, rheometry, material characterization and the production of complex high-precision parts, e.g. for medicinal prostheses. Innovation is essential: About 20 % of the company’s annual turnover is invested in Research & Development.

Anton Paar provides solutions to industries in over 110 countries. Customers include, among others, the world’s largest soft drink producers, all major breweries, Formula 1, the chemical and pharmaceutical industry and food producers, including chocolate manufacturers.

Anton Paar GmbH is owned by the Santner Foundation, which is exclusively and directly aimed at charitable causes.

Legal notice: http://www.anton-paar.com/corp-en/footer/legal-notice/",Austria,null,"Anton Paar GmbH, founded in 1922 as a one-man locksmith‘s workshop, today is a globally active high-tech company headquartered in Graz, Austria with 29 sales and service subsidiaries worldwide. The company currently counts 2900 employees. Anton Paar develops and produces high-precision laboratory instruments as well as process measurement technology and provides custom-tailored automation and robotics solutions.

A love of research and high quality standards have made Anton Paar a world market leader in the fields of density measurement, the determination of dissolved CO2, rheometry, material characterization and the production of complex high-precision parts, e.g. for medicinal prostheses. Innovation is essential: About 20 % of the company’s annual turnover is invested in Research & Development.

Anton Paar provides solutions to industries in over 110 countries. Customers include, among others, the world’s largest soft drink producers, all major breweries, Formula 1, the chemical and pharmaceutical industry and food producers, including chocolate manufacturers.

Anton Paar GmbH is owned by the Santner Foundation, which is exclusively and directly aimed at charitable causes.

Legal notice: http://www.anton-paar.com/corp-en/footer/legal-notice/",Anton Paar GmbH,1775,"1,000 - 5,000",Computer Hardware,100%,2023-05-14T08:49:23.621Z,null,https://www.anton-paar.com,null,null,200M - 1B,black basta,"[""Google Analytics"",""Google Tag Manager"",""NewRelic""]",3655,1922
645e70650258339a252311ee,5,MEADE TRACTOR,active,"Established in 1958 as Wright Equipment Company, Meade Tractor began on June 1, 2010.",United States,null,"Established in 1958 as Wright Equipment Company, Meade Tractor began on June 1, 2010.",Meade Tractor,null,50 - 200,Retail,0%,2023-05-14T08:49:23.700Z,null,https://www.meadetractor.com,null,null,10M - 50M,black basta,"[""Amazon AWS S3"",""Google Tag Manager""]",2047,2010
645e70650258339a252311ef,0,Lincoln Wood Products,active,Lincoln Windows and Patio Doors - premiere manufacturer of wood windows and patio doors,United States,null,Lincoln Windows and Patio Doors - premiere manufacturer of wood windows and patio doors,"Lincoln Wood Products, Inc.",254,200 - 500,Manufacturing,100%,2023-05-14T08:49:23.756Z,null,www.lincolnwindows.com,null,null,10M - 50M,black basta,"[""Google Tag Manager""]",1443,1947
645e70670258339a252311f0,0,FR,active,"Welcome to the online home of ForestRidge, a master planned community with homes for every budget along with several amenities located in Broken Arrow, OK.",United States,null,"Welcome to the online home of ForestRidge, a master planned community with homes for every budget along with several amenities located in Broken Arrow, OK.","Cafe Savannah's at Forest Ridge",null,10 - 50,Restaurants,100%,2023-05-14T08:49:23.796Z,36.0603916,www.forestridge.com,-95.697595,null,1M - 10M,black basta,"[""Amazon AWS S3"",""Amazon Cloudfront"",""CloudFlare"",""Google Tag Manager"",""WordPress""]",1146,null
645e70670258339a252311f1,1,Carrington,active,"Carrington Communities build strong, solid, secure condos for any stage in your life.",Canada,null,"Carrington Communities build strong, solid, secure condos for any stage in your life.",Carrington Communities,null,null,Local Business,100%,2023-05-14T08:49:23.840Z,null,www.carrington.ca,null,null,null,black basta,"[""Google Analytics"",""Google Tag Manager""]",1195,null
645e70680258339a252311f2,0,GTT,active,"GT Group, headquartered in Montreal Canada, provides a varied range of products and services related to Containers, Transport, Logistics and Warehousing for the international shipping community. Serving both the domestic and international sectors, GT Group brings a fresh and innovative approach to client satisfaction.   

Our goal is to exceed the expectations of every client by offering outstanding products, customer service, increased flexibility, and greater value, thus optimizing and improving operational efficiency. Our professionals’ functional and technical expertise, combined with their hands-on experience, ensures that our clients receive effective and quality professional service.    

GT Group’s expertise in Container Manufacturing and Customization has been a key to our success for over 35 years. With our varied knowledge, experience and established worldwide partnerships, exacting specifications required by our customers can be delivered throughout the world.",Canada,null,"GT Group, headquartered in Montreal Canada, provides a varied range of products and services related to Containers, Transport, Logistics and Warehousing for the international shipping community. Serving both the domestic and international sectors, GT Group brings a fresh and innovative approach to client satisfaction.   

Our goal is to exceed the expectations of every client by offering outstanding products, customer service, increased flexibility, and greater value, thus optimizing and improving operational efficiency. Our professionals’ functional and technical expertise, combined with their hands-on experience, ensures that our clients receive effective and quality professional service.    

GT Group’s expertise in Container Manufacturing and Customization has been a key to our success for over 35 years. With our varied knowledge, experience and established worldwide partnerships, exacting specifications required by our customers can be delivered throughout the world.",GT Group / GT Intermodal / GT Container Services,null,200 - 500,Transportation/Trucking/Railroad,100%,2023-05-14T08:49:23.879Z,null,www.gtgroupinc.com,null,null,10M - 50M,black basta,"[""Google Analytics"",""Google DoubleClick"",""WordPress""]",2389,1978
645e70690258339a252311f3,1,Yellow Pages,active,"Yellow Pages is a Canadian digital and print media company offering businesses comprehensive media solutions to meet their key marketing objectives and providing consumers with platforms to access reliable local business information. By helping local businesses foster stronger relationships with their consumers through its various media, Yellow Pages encourages the growth of thriving local economies.

Pages Jaunes est une société canadienne de médias numériques et imprimés qui offre aux entreprises une gamme complète de solutions de médias répondant à leurs principaux objectifs de marketing et qui fournit aux consommateurs des plateformes permettant d’accéder à des renseignements fiables sur les entreprises locales. En aidant les entreprises à consolider leurs relations avec les consommateurs par l’intermédiaire de ses différents médias, Pages Jaunes favorise la croissance de l’économie locale.",Canada,null,"Yellow Pages is a Canadian digital and print media company offering businesses comprehensive media solutions to meet their key marketing objectives and providing consumers with platforms to access reliable local business information. By helping local businesses foster stronger relationships with their consumers through its various media, Yellow Pages encourages the growth of thriving local economies.

Pages Jaunes est une société canadienne de médias numériques et imprimés qui offre aux entreprises une gamme complète de solutions de médias répondant à leurs principaux objectifs de marketing et qui fournit aux consommateurs des plateformes permettant d’accéder à des renseignements fiables sur les entreprises locales. En aidant les entreprises à consolider leurs relations avec les consommateurs par l’intermédiaire de ses différents médias, Pages Jaunes favorise la croissance de l’économie locale.",Yellow Pages Group Corp.,null,"1,000 - 5,000",Marketing and Advertising,0%,2023-05-14T08:49:23.915Z,null,https://www.yellowpages.ca,null,null,200M - 1B,black basta,"[""comScore"",""Google Analytics"",""Google DoubleClick"",""Google Tag Manager""]",3381,1908
645e70690258339a252311f4,1,DOREL Industries,active,"Dorel Industries Inc is a Canada-based global consumer products company which designs, manufactures and distributes a portfolio of product brands. The Company markets its products in the United States, Europe, Latin America, Canada, and Asia. The Company operates through three segments: Dorel Juvenile, Dorel Sports and Dorel Home Furnishings. The Company's Dorel Juvenile segment is engaged in designing, sourcing, manufacturing, distribution and retailing of children's furniture and accessories. The Company's Dorel Sports segment is engaged in designing, sourcing, manufacturing and distribution of recreational and leisure products and accessories. The Company's Dorel Home Furnishings segment is engaged in designing, sourcing, manufacturing and distribution of ready-to-assemble (RTA) furniture and home furnishings. The Company's brands include Cannondale, Schwinn, GT, Mongoose, Caloi, Quinny, Maxi-Cosi, Tiny Love, Cosco, Infanti, Voyage, Angel, Disney and Eddie Bauer.",Canada,null,"Dorel Industries Inc is a Canada-based global consumer products company which designs, manufactures and distributes a portfolio of product brands. The Company markets its products in the United States, Europe, Latin America, Canada, and Asia. The Company operates through three segments: Dorel Juvenile, Dorel Sports and Dorel Home Furnishings. The Company's Dorel Juvenile segment is engaged in designing, sourcing, manufacturing, distribution and retailing of children's furniture and accessories. The Company's Dorel Sports segment is engaged in designing, sourcing, manufacturing and distribution of recreational and leisure products and accessories. The Company's Dorel Home Furnishings segment is engaged in designing, sourcing, manufacturing and distribution of ready-to-assemble (RTA) furniture and home furnishings. The Company's brands include Cannondale, Schwinn, GT, Mongoose, Caloi, Quinny, Maxi-Cosi, Tiny Love, Cosco, Infanti, Voyage, Angel, Disney and Eddie Bauer.",Dorel Industries Inc,8900,"5,000 - 10,000",Wholesale,0%,2023-05-14T08:49:23.979Z,null,https://www.dorel.com,null,2636471427,> 1B,black basta,"[""Google Analytics"",""MaxCDN"",""Shopify""]",3741,1995
645e70690258339a252311f5,12,restorationmanagement,active,"RMC is a full-service cleaning and restoration company. We deliver reliable, year-round emergency service, 7 days a week, 24 hours a day. Our team is driven by compassion and remains committed to RMC’s founding principle: earning the trust of our customers – one customer at a time.

Our technicians and project managers earn certifications from the Institute of Inspection, Cleaning and Restoration Certification (IICRC) for cleaning services that include water damage restoration, fire smoke damage restoration and sewage clean-up and mold remediation.  The owner and three RMC employees are Certified Restorers. Awarded by the Restoration Industry Association (RIA), the Certified Restorer Certification Program is widely-recognized as the pre-eminent training program in damage repair.

RMC also is a licensed lead/asbestos abatement contractor.

RMC has built our business around our people. That is why our skilled team members  handle client property efficiently and with care while keeping our clients operational throughout the recovery process.

With 32 years of experience behind our team, RMC will restore your property seamlessly and cost-effectively as we focus on getting your business and life back to normal – fast!  Call us any time Tel: 800-400-5058",United States,null,"RMC is a full-service cleaning and restoration company. We deliver reliable, year-round emergency service, 7 days a week, 24 hours a day. Our team is driven by compassion and remains committed to RMC’s founding principle: earning the trust of our customers – one customer at a time.

Our technicians and project managers earn certifications from the Institute of Inspection, Cleaning and Restoration Certification (IICRC) for cleaning services that include water damage restoration, fire smoke damage restoration and sewage clean-up and mold remediation.  The owner and three RMC employees are Certified Restorers. Awarded by the Restoration Industry Association (RIA), the Certified Restorer Certification Program is widely-recognized as the pre-eminent training program in damage repair.

RMC also is a licensed lead/asbestos abatement contractor.

RMC has built our business around our people. That is why our skilled team members  handle client property efficiently and with care while keeping our clients operational throughout the recovery process.

With 32 years of experience behind our team, RMC will restore your property seamlessly and cost-effectively as we focus on getting your business and life back to normal – fast!  Call us any time Tel: 800-400-5058",RESTORATION MANAGEMENT COMPANY,295,200 - 500,Management Consulting,100%,2023-05-14T08:49:24.043Z,null,www.rmc.com,null,null,10M - 50M,black basta,"[""Sukuri/Cloudproxy""]",0,1985
645e706a0258339a252311f6,0,Colvillbanks,active,"Colvill Banks Ltd | 4,203 followers on LinkedIn | Colvill Banks are experts in candidate research and identification.  Colvill Banks are a specialist provider of outsourced research solutions for Corporate, Executive Search and Recruitment Agencies across the globe. 

Open and consultative in style, Colvill Banks are driven by a strong sense of urgency and pride ourselves on our professional, personal and ethical approach.",United Kingdom,null,"Colvill Banks Ltd | 4,203 followers on LinkedIn | Colvill Banks are experts in candidate research and identification.  Colvill Banks are a specialist provider of outsourced research solutions for Corporate, Executive Search and Recruitment Agencies across the globe. 

Open and consultative in style, Colvill Banks are driven by a strong sense of urgency and pride ourselves on our professional, personal and ethical approach.",Colvill Banks Ltd,213,200 - 500,Research,100%,2023-05-14T08:49:24.085Z,null,www.colvillbanks.com,null,null,10M - 50M,black basta,"[""WordPress""]",1471,2007
