_id,branches_count,company_name,company_status,content,country,deadline,description,display_name,employees_count,employees_range,industry,ispublished,last_seen,latitude,link,longitude,revenue,revenue_range,source,technologies_used,views,year_founded
645f8ae80dd5ffd15c02d9f2,0,DATALAN,active,"DATALAN is one of the top Slovak providers of complex IT services in the area of software and info-communication solutions, IT outsourcing and information technology advisory. Founded in 1990, DATALAN is bringing top innovations and IT trends for more than 30 years.
DATALAN has been awarded titles The bronze TREND TOP COMPANY in 2010 and IT COMPANY OF THE YEAR in 2003. For its successful partnerships, DATALAN has been awarded also titles The Best HP Partner 2011 for Commercial Products and IBM SWG Partner 2011.
The ambition of DATALAN company for the next years is to provide high quality services and solutions, efficiently satisfying all client requirements.",Slovakia,null,"DATALAN is one of the top Slovak providers of complex IT services in the area of software and info-communication solutions, IT outsourcing and information technology advisory. Founded in 1990, DATALAN is bringing top innovations and IT trends for more than 30 years.
DATALAN has been awarded titles The bronze TREND TOP COMPANY in 2010 and IT COMPANY OF THE YEAR in 2003. For its successful partnerships, DATALAN has been awarded also titles The Best HP Partner 2011 for Commercial Products and IBM SWG Partner 2011.
The ambition of DATALAN company for the next years is to provide high quality services and solutions, efficiently satisfying all client requirements.","DATALAN, a. s.",null,200 - 500,Computer Software,true,2023-05-14T09:13:35.613Z,null,http://www.datalan.sk/,null,null,50M - 100M,Vice Society,"[""CloudFlare"",""Google Tag Manager"",""WordPress""]",null,1990
645f8aeb0dd5ffd15c02d9f3,0,Asia Pacific University,active,"The Asia Pacific University (APU) is acknowledged to be one of Malaysia's premier University of higher learning for technology. Since its inception in 1993 as the Asia Pacific Institute of Information Technology (APIIT), the University has produced more than 14,000 highly skilled technology professionals in Malaysia and the Asia Pacific region, and has earned a reputation for excellence in education and research and development. APU had continuously wins awards for excellence in education, research and development and for the achievements of our students.

    In offering a range of degrees in a multitude of areas, we understand technology as the practical application of science to solve problems, to make our lives better, easier and more enjoyable. Together with the Asia Pacific University (APU), we nurture and encourage innovation through our programmes of study, with the intention of producing individuals who will learn, adopt and think differently in new and better ways. But more importantly, we produce highly employable graduates who have the skills to build exciting and rewarding careers.",Malaysia,null,"The Asia Pacific University (APU) is acknowledged to be one of Malaysia's premier University of higher learning for technology. Since its inception in 1993 as the Asia Pacific Institute of Information Technology (APIIT), the University has produced more than 14,000 highly skilled technology professionals in Malaysia and the Asia Pacific region, and has earned a reputation for excellence in education and research and development. APU had continuously wins awards for excellence in education, research and development and for the achievements of our students.

    In offering a range of degrees in a multitude of areas, we understand technology as the practical application of science to solve problems, to make our lives better, easier and more enjoyable. Together with the Asia Pacific University (APU), we nurture and encourage innovation through our programmes of study, with the intention of producing individuals who will learn, adopt and think differently in new and better ways. But more importantly, we produce highly employable graduates who have the skills to build exciting and rewarding careers.",Asia Pacific University,null,50 - 200,Higher Education,true,2023-05-14T09:13:41.703Z,null,http://www.apu.edu.my/,null,null,10M - 50M,Vice Society,"[""Drupal"",""Google Analytics"",""LiveChatInc""]",null,1993
645f8aed0dd5ffd15c02d9f4,0,Brighton Hill Community School,active,"Students come first at Brighton Hill Community School. We are a confident, forward looking and vibrant institution committed to excellent professional relationships and high quality learning.",United Kingdom,null,"Students come first at Brighton Hill Community School. We are a confident, forward looking and vibrant institution committed to excellent professional relationships and high quality learning.",Brighton Hill Community College,null,null,Education Management,true,2023-05-14T09:13:47.508Z,51.2449843,http://www.brightonhill.hants.sch.uk/,-1.115845,null,null,Vice Society,"[""Google Analytics"",""Google Tag Manager""]",null,null
645f8aef0dd5ffd15c02d9f5,0,CMC Group,active,"Located in the heart of the Midwest, Century Label has over 35 years of custom label printing experience. Providing custom pressure sensitive labels, shrink sleeves and flexible packaging to brands across the nation, Century Label specializes in precision printing and customer care. With onsite printing facilities, state-of-the-art equipment, and experienced production and graphics teams, G7 Master Printer Century Label is committed to meeting your unique packaging needs.",United States,null,"Located in the heart of the Midwest, Century Label has over 35 years of custom label printing experience. Providing custom pressure sensitive labels, shrink sleeves and flexible packaging to brands across the nation, Century Label specializes in precision printing and customer care. With onsite printing facilities, state-of-the-art equipment, and experienced production and graphics teams, G7 Master Printer Century Label is committed to meeting your unique packaging needs.",Century Label,null,null,Printing,true,2023-05-14T09:13:53.273Z,null,http://www.centurylabel.com/,null,null,null,Vice Society,"[""Google Tag Manager"",""MaxCDN""]",null,1980
645f8af00dd5ffd15c02d9f6,0,Neptune Lines,active,"A lot has changed since the last time you visited us. Soon, we will be ready to share with you our vision and our new adventures.",Greece,null,"A lot has changed since the last time you visited us. Soon, we will be ready to share with you our vision and our new adventures.",Neptune Lines Shipping & Managing Enterprises S.A.,null,null,null,true,2023-05-14T09:13:59.116Z,null,http://www.neptunelines.com/,null,null,null,Vice Society,"[""Drupal"",""Google Analytics""]",null,1973
645f8af20dd5ffd15c02d9f7,0,Lakeland Community College,active,"Lakeland was the first public college in Ohio established by a vote of the people in 1967. Lakeland offers career programs that prepare students for immediate employment, transfer programs that prepare students for successful transfer to four-year schools, and classes and certificate programs to improve job skills.

Hold your next business meeting, conference or event in our corporate meeting facilities through campus including Mooreland Mansion and the Holden University Center of Lakeland. The college proudly partners with Normandy Catering to provide exceptional, worry-free service. Visit lakelandcc.edu/web/about/facility-rental or lakelandcc.edu/uc.

Specialties- Holden University Center - bachelor's and graduate degrees, Corporate Meetings, College Accessibility and Affordability.",United States,null,"Lakeland was the first public college in Ohio established by a vote of the people in 1967. Lakeland offers career programs that prepare students for immediate employment, transfer programs that prepare students for successful transfer to four-year schools, and classes and certificate programs to improve job skills.

Hold your next business meeting, conference or event in our corporate meeting facilities through campus including Mooreland Mansion and the Holden University Center of Lakeland. The college proudly partners with Normandy Catering to provide exceptional, worry-free service. Visit lakelandcc.edu/web/about/facility-rental or lakelandcc.edu/uc.

Specialties- Holden University Center - bachelor's and graduate degrees, Corporate Meetings, College Accessibility and Affordability.",Lakeland Community College,548,"500 - 1,000",Higher Education,true,2023-05-14T09:14:04.963Z,41.636883,http://www.lakelandcc.edu/,-81.3702,72692129,50M - 100M,Vice Society,"[""Amazon Cloudfront"",""CloudFlare"",""Google Analytics"",""Google Tag Manager"",""MaxCDN""]",null,1967
645f8af40dd5ffd15c02d9f8,6,CommScope,active,"CommScope Holding Company, Inc. is a provider of infrastructure solutions for communication and entertainment networks. The Company operates through five segments: Connectivity Solutions (Connectivity), Mobility Solutions (Mobility), Customer Premises Equipment (CPE), Network & Cloud (N&C) and Ruckus Networks (Ruckus). The Connectivity segment provides fiber optic, copper cable and connectivity solutions. The Mobility segment provides the integral building blocks for cellular base station sites and related connectivity. The CPE segment offers broadband and video products. The N&C segment's product solutions include cable modem termination system, video infrastructure, distribution and transmission equipment, and cloud solutions. The Ruckus segment provides converged wired and wireless local area network (LAN) networks for enterprises and service providers. Through its ARRIS International plc, it provides broadband, video and wireless technology.",United States,null,"CommScope Holding Company, Inc. is a provider of infrastructure solutions for communication and entertainment networks. The Company operates through five segments: Connectivity Solutions (Connectivity), Mobility Solutions (Mobility), Customer Premises Equipment (CPE), Network & Cloud (N&C) and Ruckus Networks (Ruckus). The Connectivity segment provides fiber optic, copper cable and connectivity solutions. The Mobility segment provides the integral building blocks for cellular base station sites and related connectivity. The CPE segment offers broadband and video products. The N&C segment's product solutions include cable modem termination system, video infrastructure, distribution and transmission equipment, and cloud solutions. The Ruckus segment provides converged wired and wireless local area network (LAN) networks for enterprises and service providers. Through its ARRIS International plc, it provides broadband, video and wireless technology.","CommScope Holding Company, Inc.",30000,"> 10,000",Computer Hardware,true,2023-05-14T09:14:10.853Z,null,http://www.commscope.com/,null,8350000000,> 1B,Vice Society,"[""Drupal"",""Google Tag Manager"",""Marketo"",""NewRelic"",""Optimizely""]",null,2010
645f8af60dd5ffd15c02d9f9,0,Lewis & Clark College,active,"Lewis & Clark prepares students for lives of local and global engagement. Located in Portland, Oregon, the college educates approximately 2,000 undergraduate students in the liberal arts and sciences and 1,200 students in graduate and professional programs in education, counseling and law.",United States,null,"Lewis & Clark prepares students for lives of local and global engagement. Located in Portland, Oregon, the college educates approximately 2,000 undergraduate students in the liberal arts and sciences and 1,200 students in graduate and professional programs in education, counseling and law.",Lewis & Clark College,3067,"1,000 - 5,000",Higher Education,true,2023-05-14T09:14:16.765Z,45.450073,http://www.lclark.edu/,-122.67258,200005490,200M - 1B,Vice Society,"[""Google Analytics"",""Google Tag Manager"",""NewRelic""]",null,1867
645f8af80dd5ffd15c02d9fa,1,Autoridad de Acueductos Y Alcantarillados,active,"AAA a tu alcance, desde cualquier lugar, a cualquier hora, por medio de cualquier conexión a internet Acueductospr.com. Accede todo lo que necesitas saber, esta es tu oficina virtual.",United States,null,"AAA a tu alcance, desde cualquier lugar, a cualquier hora, por medio de cualquier conexión a internet Acueductospr.com. Accede todo lo que necesitas saber, esta es tu oficina virtual.",Autoridad de Acueductos Y Alcantarillados,null,10 - 50,Construction,true,2023-05-14T09:14:22.625Z,null,http://www.acueductospr.com/,null,null,1M - 10M,Vice Society,"[""Google Analytics"",""Incapsula""]",null,null
645f8afa0dd5ffd15c02d9fb,0,Ecolog International,active,"Ecolog is a leading provider of integrated solutions, supply chain and logistics, technology, construction, facility management and environmental services. It provides turnkey and customized solutions and services to governments and defense, commercial clients in the energy, Oil & Gas, Mining and Infrastructure sectors as well as humanitarian organizations. Incorporated more than two decades ago, Ecolog has carried out over 1,100 projects and is active in over 40 countries, leveraging a pool of nearly 12,000 committed people in more than 150 locations around the globe.


Enabling our clients to focus on their operation by taking care of their needs is our leading philosophy at Ecolog. Providing services and solutions in a wide range of environments, including some of the world’s most remote and challenging locations is our commitment.",United Arab Emirates,null,"Ecolog is a leading provider of integrated solutions, supply chain and logistics, technology, construction, facility management and environmental services. It provides turnkey and customized solutions and services to governments and defense, commercial clients in the energy, Oil & Gas, Mining and Infrastructure sectors as well as humanitarian organizations. Incorporated more than two decades ago, Ecolog has carried out over 1,100 projects and is active in over 40 countries, leveraging a pool of nearly 12,000 committed people in more than 150 locations around the globe.


Enabling our clients to focus on their operation by taking care of their needs is our leading philosophy at Ecolog. Providing services and solutions in a wide range of environments, including some of the world’s most remote and challenging locations is our commitment.",Ecolog International,null,"> 10,000",Transportation/Trucking/Railroad,true,2023-05-14T09:14:28.484Z,null,http://www.ecolog-international.com/,null,null,> 1B,Vice Society,"[""WordPress""]",null,null
