_id,branches_count,company_name,company_status,content,country,date_added,deadline,description,display_name,employees_count,employees_range,industry,ispublished,last_seen,latitude,link,longitude,progress,revenue,revenue_range,source,technologies_used,views,year_founded
64601c5a8e116d3d1d0c16bf,0,Southern West Virginia Community and Technical College,active,"Comprehensive, free standing, community college serving the residents of southwestern West Virginia",United States,2023-05-03,null,"Comprehensive, free standing, community college serving the residents of southwestern West Virginia",Southern West Virginia Community and Technical College,213,200 - 500,Higher Education,true,2023-05-14T09:30:29.175Z,37.851756,http://www.southernwv.edu/,-82.023014,0%,21371969,10M - 50M,Royal,"[""Google Tag Manager"",""WordPress""]",null,1971
64601c5d8e116d3d1d0c16c0,0,ZBW News,active,Ihr Partner für Forschung und Studium.,Germany,2023-05-03,null,Ihr Partner für Forschung und Studium.,ZBW,264,264,Information Services,true,2023-05-14T09:30:34.387Z,53.557198,http://zbw.eu/,9.992611,0%,"$129,7M","$129,7M",Royal,"[""CloudFlare""]",null,null
64601c5f8e116d3d1d0c16c1,1,Encompass Group,active,"WHO WE ARE: The world’s leading manufacturer and marketer of reusable textiles, professional apparel, and disposable and single use medical products.

WHAT WE BELIEVE: We believe every patient, resident, caregiver and family member should feel safe and comfortable in today’s healthcare environments. 

HOW WE DO IT: We enhance the healthcare experience for every stakeholder by developing innovative products that are reliably delivered and cost-effective for providers. 

THE RESULT: Encompass products are consistently recognized as the most innovative and reliable in the field by hospitals, patients, and caregivers alike, and our solutions are cost effective for all providers. 
 
WHY IT WORKS: For nearly a century, Encompass has been helping health care and hospitality organizations create safe and comfortable environments for patients, staff, residents and guests. By focusing on innovation, product knowledge and customer service, the company strives to meet the needs of its clients by always being first in safety and comfort. 
 
WHO WE SERVE: Markets served include Acute Care, Senior Living, Long-term Care, Professional Healthcare Apparel, Government Facilities, Healthcare Laundry 
 
OUR SECRET INGREDIENT: In addition to providing an extensive range of targeted health care/hospitality products, Encompass also assists its clients by offering a diverse portfolio of health care and hospitality focused services, including cost management programs, professionally certified continuing education courses, and sophisticated interior design capabilities. 

HOW TO CONTACT US: For more information, please visit us at www.encompassgroup.net, email us at info@encompassgroup.net, or call at (800) 284-4540",United States,2023-04-21,null,"WHO WE ARE: The world’s leading manufacturer and marketer of reusable textiles, professional apparel, and disposable and single use medical products.

WHAT WE BELIEVE: We believe every patient, resident, caregiver and family member should feel safe and comfortable in today’s healthcare environments. 

HOW WE DO IT: We enhance the healthcare experience for every stakeholder by developing innovative products that are reliably delivered and cost-effective for providers. 

THE RESULT: Encompass products are consistently recognized as the most innovative and reliable in the field by hospitals, patients, and caregivers alike, and our solutions are cost effective for all providers. 
 
WHY IT WORKS: For nearly a century, Encompass has been helping health care and hospitality organizations create safe and comfortable environments for patients, staff, residents and guests. By focusing on innovation, product knowledge and customer service, the company strives to meet the needs of its clients by always being first in safety and comfort. 
 
WHO WE SERVE: Markets served include Acute Care, Senior Living, Long-term Care, Professional Healthcare Apparel, Government Facilities, Healthcare Laundry 
 
OUR SECRET INGREDIENT: In addition to providing an extensive range of targeted health care/hospitality products, Encompass also assists its clients by offering a diverse portfolio of health care and hospitality focused services, including cost management programs, professionally certified continuing education courses, and sophisticated interior design capabilities. 

HOW TO CONTACT US: For more information, please visit us at www.encompassgroup.net, email us at info@encompassgroup.net, or call at (800) 284-4540","Encompass Group, LLC",578,"500 - 1,000",Hospital & Health Care,true,2023-05-14T09:37:41.776Z,33.429565,http://www.encompassgroup.com/,-84.14496,0%,$100.3M,50M - 100M,Royal,"[""CloudFlare"",""Google Analytics"",""Google Tag Manager"",""HubSpot""]",null,1999
64601c608e116d3d1d0c16c2,0,MW Components,active,"MW Components is focused on accelerating the entire process of delivering custom, stock, and standard parts to virtually any volume and against demanding deadlines. We work to highly complex tolerances. We help simplify the management of any number of different components. And we take a no-compromise approach to quality. With MW Components you can be sure you’ll get the right part to the right specification when and where you need it.

Certifications and registrations include: 
AS9100; ISO-9001; ISO13485, ISO/TS16949; QS-9000; ITAR; DFARS; REACH; RoHS; Mil-I-45208A; Mil-Std-45662; API 14 A+D; ANSI/ASME SPPE-1; QSLM; JCP; FDA Registered Facilities; ISO 8 Class 100,000 Certified Cleanroom",United States,2023-04-18,null,"MW Components is focused on accelerating the entire process of delivering custom, stock, and standard parts to virtually any volume and against demanding deadlines. We work to highly complex tolerances. We help simplify the management of any number of different components. And we take a no-compromise approach to quality. With MW Components you can be sure you’ll get the right part to the right specification when and where you need it.

Certifications and registrations include: 
AS9100; ISO-9001; ISO13485, ISO/TS16949; QS-9000; ITAR; DFARS; REACH; RoHS; Mil-I-45208A; Mil-Std-45662; API 14 A+D; ANSI/ASME SPPE-1; QSLM; JCP; FDA Registered Facilities; ISO 8 Class 100,000 Certified Cleanroom",MW Components,1900,1900,Mechanical or Industrial Engineering,true,2023-05-14T09:30:53.575Z,null,http://www.mwcomponents.com/,null,0%,$516M,$516M,Royal,"[""Google Analytics"",""Google Tag Manager"",""HubSpot""]",null,null
64601c628e116d3d1d0c16c3,0,City of Ballwin,active,"Named as ""One of America's Best Places to Live"" by Money Magazine in 2005, 2011 and 2013 Ballwin continues to pride itself on offering a wide range of programs and services to its residents. 30,404 people choose to call this dynamic community home.",United States,2023-04-14,null,"Named as ""One of America's Best Places to Live"" by Money Magazine in 2005, 2011 and 2013 Ballwin continues to pride itself on offering a wide range of programs and services to its residents. 30,404 people choose to call this dynamic community home.","BALLWIN, CITY OF",148,50 - 200,Government Administration,true,2023-05-14T09:37:51.360Z,38.593002,http://ballwin.mo.us/,-90.53902,0%,"$10,7M",10M - 50M,Royal,"[""Constant Contact"",""Google Analytics"",""MaxCDN""]",null,1950
64601c648e116d3d1d0c16c4,0,Mainstream Engineering,active,"Mainstream Engineering Corporation is a solutions-oriented research, development and manufacturing small business founded in 1986. Our  Engineering Mission is to research and develop emerging technologies and to engineer these technologies into superior-quality, military- and private-sector products that provide a technological advantage.

Areas of expertise include thermal control, energy conversion, turbo-machinery, chemical-based technologies and materials science.

Mainstream began as a thermal-science R&D company solving NASA and DOD problems related to thermal control, replacement working fluids and advanced heat pump development. Today, while continuing to perform these R&D projects for NASA, DOD, DOE, USDA, DOT and DOC (NIST) applications, we have found a tremendous need for rapid, cost-effective engineering solutions in the commercial world. Mainstream has in-house facilities to transition an innovation from its initial laboratory proof-of-concept demonstration to production.",United States,2023-03-09,null,"Mainstream Engineering Corporation is a solutions-oriented research, development and manufacturing small business founded in 1986. Our  Engineering Mission is to research and develop emerging technologies and to engineer these technologies into superior-quality, military- and private-sector products that provide a technological advantage.

Areas of expertise include thermal control, energy conversion, turbo-machinery, chemical-based technologies and materials science.

Mainstream began as a thermal-science R&D company solving NASA and DOD problems related to thermal control, replacement working fluids and advanced heat pump development. Today, while continuing to perform these R&D projects for NASA, DOD, DOE, USDA, DOT and DOC (NIST) applications, we have found a tremendous need for rapid, cost-effective engineering solutions in the commercial world. Mainstream has in-house facilities to transition an innovation from its initial laboratory proof-of-concept demonstration to production.",Mainstream Engineering Corporation,142,50 - 200,Aviation & Aerospace,true,2023-05-14T09:30:58.365Z,28.290987,http://mainstream-engr.com/,-80.702484,0%,"$26,7M",10M - 50M,Royal,"[""CloudFlare"",""Google Analytics"",""Google Tag Manager"",""WordPress""]",null,1986
64601c668e116d3d1d0c16c5,0,Moon Capital,active,Moon Capital Management - A global alternative investment advisory firm headquartered in New York,United States,2023-04-13,null,Moon Capital Management - A global alternative investment advisory firm headquartered in New York,MOON CAPITAL MANAGEMENT LP,43,10 - 50,Financial Services,true,2023-05-14T09:31:03.172Z,40.762962,http://www.mooncapital.com/,-73.96976,0%,$36.4M,1M - 10M,Royal,"[""Google Analytics""]",null,2004
64601c688e116d3d1d0c16c6,2,Dataram,active,"Dataram Corporation (Dataram) is an independent manufacturer of memory products and provider of performance solutions. The Company provides customized memory solutions for original equipment manufacturers (OEMs) and compatible memory for various brands, as well as a line of memory products for Intel and AMD motherboard based servers. Its business lines include Dataram/Princeton Memory, Micro Memory Bank (MMB), MemoryStore.com and 18004Memory.com. The Dataram/Princeton Memory Business provides memory products that support enterprise/mission critical need; custom memory solutions for various customers ranging from enterprise and data center segments to power users and gamers, and solutions to extend the density memory options available to customers. MMB provides new and refurbished memory products. 18004Memory.com Web property provides a source for new and refurbished memory products. The Memorystore.com Web property provides a source for Dataram Value Memory products.",United States,2023-04-12,null,"Dataram Corporation (Dataram) is an independent manufacturer of memory products and provider of performance solutions. The Company provides customized memory solutions for original equipment manufacturers (OEMs) and compatible memory for various brands, as well as a line of memory products for Intel and AMD motherboard based servers. Its business lines include Dataram/Princeton Memory, Micro Memory Bank (MMB), MemoryStore.com and 18004Memory.com. The Dataram/Princeton Memory Business provides memory products that support enterprise/mission critical need; custom memory solutions for various customers ranging from enterprise and data center segments to power users and gamers, and solutions to extend the density memory options available to customers. MMB provides new and refurbished memory products. 18004Memory.com Web property provides a source for new and refurbished memory products. The Memorystore.com Web property provides a source for Dataram Value Memory products.",Dataram Corp,49,10 - 50,Computer Hardware,true,2023-05-14T09:38:00.916Z,null,http://dataram.com/,null,0%,25180000,10M - 50M,Royal,"[""Google Analytics""]",null,1967
64601c698e116d3d1d0c16c7,0,Stanley Electric U.S.,active,"Stanley Electric US is a leader in the production of exterior vehicle lighting. Our goal is to be the #1 source in North America for exterior lighting solutions. In pursuit of that goal, our products will set the industry standard for performance and quality.",United States,2023-04-10,null,"Stanley Electric US is a leader in the production of exterior vehicle lighting. Our goal is to be the #1 source in North America for exterior lighting solutions. In pursuit of that goal, our products will set the industry standard for performance and quality.","Stanley Electric U.S. Co., Inc.","8,312","8,312",Automotive,true,2023-05-14T09:38:10.505Z,null,http://www.stanleyelectricus.com/,null,0%,315000,0 - 1M,Royal,"[""CloudFlare"",""Google Tag Manager"",""WordPress""]",null,1979
64601c6b8e116d3d1d0c16c8,0,Nature Path Foods,active,"As pioneers of the organic movement, we believe organic food and farming is the best way to care for our bodies and for the planet. We think that your fork (or in our case: your spoon) is your most powerful tool for change. Learn more about why we believe everyone has the right to delicious organic foods.",United States,2023-04-10,null,"As pioneers of the organic movement, we believe organic food and farming is the best way to care for our bodies and for the planet. We think that your fork (or in our case: your spoon) is your most powerful tool for change. Learn more about why we believe everyone has the right to delicious organic foods.","Nature's Path Foods Inc.",451,451,null,true,2023-05-14T09:31:07.957Z,48.977634,http://www.naturespath.com/,-122.72191,0%,"$303,7M","$303,7M",Royal,"[""Amazon AWS S3"",""CloudFlare"",""Google Tag Manager""]",null,null
