_id,branches_count,company_name,company_status,content,country,deadline,description,display_name,employees_count,employees_range,industry,ispublished,last_seen,latitude,link,longitude,revenue,revenue_range,source,technologies_used,views,year_founded
64603ff6b253cdda64133e20,0,NorthShoreMedicalLabs,active,"North Shore Medical Labs (NSML) is a full-service clinical reference laboratory, dedicated to serve the individual needs of the healthcare provider through a committed staff, client focused and service oriented organization. 

NSML is fully accredited and licensed by the College of American Pathologists (CAP), New York State Department of Health, the Center for Medicare and Medicaid Services (CLIA), U.S. Department of Health and Human Services (Medicare), The Pennsylvania Department of Health, Department of Health of Pennsylvania, State of Florida, State of Maryland, State of Virginia and State of California.

The lab is staffed with certified medical technologists and technicians. Technical staff is equally supported by highly trained client-service and sales representatives who are always ready to respond to needs of the clients.",United States,null,"North Shore Medical Labs (NSML) is a full-service clinical reference laboratory, dedicated to serve the individual needs of the healthcare provider through a committed staff, client focused and service oriented organization. 

NSML is fully accredited and licensed by the College of American Pathologists (CAP), New York State Department of Health, the Center for Medicare and Medicaid Services (CLIA), U.S. Department of Health and Human Services (Medicare), The Pennsylvania Department of Health, Department of Health of Pennsylvania, State of Florida, State of Maryland, State of Virginia and State of California.

The lab is staffed with certified medical technologists and technicians. Technical staff is equally supported by highly trained client-service and sales representatives who are always ready to respond to needs of the clients.",NORTH SHORE MEDICAL LABS INC,24,10 - 50,Hospital & Health Care,true,2023-05-14T12:31:54.338Z,40.756626,https://nsmlonline.com/,-73.64521,null,1M - 10M,BianLian,"[""Google Analytics""]",null,1989
64603ffcb253cdda64133e21,0,HermesMedicalSolutions,active,"FIRST TIME RIGHT – The right tool, for the right patient at the right time.

Through empowering physicians with Standardized Molecular Imaging Software solutions, Hermes Medical Solutions delivers increased efficiency, accuracy for diagnosis and personalized treatment of patients. The result is improved quality and outcomes for healthcare providers who are pursuing refined clinical pathways in Precision Medicine.

Hermes Medical Solutions solves the global challenges in Molecular Imaging by addressing interrupted clinical workflows, lack of standardization and access to absolute quantification. Through our solutions, our customers address economic pressure in healthcare without sacrificing quality of care. For more than 40 years, we have been delivering the best in workflows, connectivity and clinical software solutions.",Sweden,null,"FIRST TIME RIGHT – The right tool, for the right patient at the right time.

Through empowering physicians with Standardized Molecular Imaging Software solutions, Hermes Medical Solutions delivers increased efficiency, accuracy for diagnosis and personalized treatment of patients. The result is improved quality and outcomes for healthcare providers who are pursuing refined clinical pathways in Precision Medicine.

Hermes Medical Solutions solves the global challenges in Molecular Imaging by addressing interrupted clinical workflows, lack of standardization and access to absolute quantification. Through our solutions, our customers address economic pressure in healthcare without sacrificing quality of care. For more than 40 years, we have been delivering the best in workflows, connectivity and clinical software solutions.",Hermes Medical Solutions AB,65,50 - 200,Medical Devices,true,2023-05-14T12:32:01.250Z,null,https://hermesmedical.com/,null,null,10M - 50M,BianLian,"[""Google Tag Manager""]",null,1976
64604002b253cdda64133e22,0,DAAlexanderCompanyINC,active,"Landscape design, installation and maintenance for over 35 years. Exceptional customer service; personalized consultations; award winning designs; prompt, efficient, organized services & installations.",United States,null,"Landscape design, installation and maintenance for over 35 years. Exceptional customer service; personalized consultations; award winning designs; prompt, efficient, organized services & installations.","D. A. ALEXANDER & COMPANY, INC.",null,50 - 200,Design,true,2023-05-14T12:32:07.160Z,42.375908,https://daalexander.com/,-83.37253,null,10M - 50M,BianLian,"[""Amazon Cloudfront"",""Google Analytics"",""Google Tag Manager""]",null,1982
64604008b253cdda64133e23,6,"B&REckel'sTransport",active,"B&R Eckel's Transport ltd., is a full service transportation
company.  We have been in business since 1965 and have proudly
served the oil industry in North East Alberta and North West
Saskatchewan.  We are well equipped to handle rig moves or large
jack and roll over dimensional moves.  Our bed trucks are modern
and updated and come equipped with planetary drives.  Our fleet
of pickers will handle 3 to 30 ton.  Our tank moving team is set
up to handle the move of 3000 barrel tanks.  The pipeyard was
designed to handle large volumes of pipe quickly and safely.  B&R
Eckel's remains ""Committed to Service"".  We would be glad to
answer any questions or help you with your next move.  Please
call 1-780-826-3889.",Canada,null,"B&R Eckel's Transport ltd., is a full service transportation
company.  We have been in business since 1965 and have proudly
served the oil industry in North East Alberta and North West
Saskatchewan.  We are well equipped to handle rig moves or large
jack and roll over dimensional moves.  Our bed trucks are modern
and updated and come equipped with planetary drives.  Our fleet
of pickers will handle 3 to 30 ton.  Our tank moving team is set
up to handle the move of 3000 barrel tanks.  The pipeyard was
designed to handle large volumes of pipe quickly and safely.  B&R
Eckel's remains ""Committed to Service"".  We would be glad to
answer any questions or help you with your next move.  Please
call 1-780-826-3889.","B & R Eckel's Transport Ltd.",null,null,Oil & Energy,true,2023-05-14T12:32:13.352Z,null,https://breckels.com/,null,null,null,BianLian,"[""Google Tag Manager"",""WordPress""]",null,1965
6460400db253cdda64133e24,0,AlbanyENT&AllergyServices,active,"Albany ENT & Allergy Services, PC | 438 followers on LinkedIn. Engaged In Our Community, Invested In Your Health | We provide comprehensive care of Pediatric and Adult patients with medical and surgical problems involving the Ears, Nose, Throat and related Head and Neck structures.

Dr. Gavin Setzen obtained his medical degree in Johannesburg, South Africa.",United States,null,"Albany ENT & Allergy Services, PC | 438 followers on LinkedIn. Engaged In Our Community, Invested In Your Health | We provide comprehensive care of Pediatric and Adult patients with medical and surgical problems involving the Ears, Nose, Throat and related Head and Neck structures.

Dr. Gavin Setzen obtained his medical degree in Johannesburg, South Africa.","ALBANY ENT & ALLERGY SERVICES, PC",106,50 - 200,Hospital & Health Care,true,2023-05-14T12:32:19.239Z,null,https://albanyentandallergy.com/,null,null,10M - 50M,BianLian,"[""Amazon Cloudfront"",""Google Tag Manager"",""WordPress""]",null,1977
64604013b253cdda64133e25,1,VascularCenterofIntervention,active,"​ On June 03, 2012, Fresno Bee reported Fresno County's amputation rate as among the state's highest, Dr. James Lee, a fellowship trained vascular surgeon with over 17 years of experience and the...",United States,null,"​ On June 03, 2012, Fresno Bee reported Fresno County's amputation rate as among the state's highest, Dr. James Lee, a fellowship trained vascular surgeon with over 17 years of experience and the...","VASCULAR CENTER OF INTERVENTION, INC.",null,10 - 50,Hospital & Health Care,true,2023-05-14T12:32:25.093Z,36.836384,https://vcifresno.com/,-119.767426,null,1M - 10M,BianLian,"[""Google Analytics""]",null,2018
64604019b253cdda64133e26,0,CADOptTechnologies,active,"CADOpt (coined for CAD Optimization/Adoption) - an Organization to provide Value Added Services(Highend Consulting & Training) on PTC's Solutions like Creo (previously Pro/ENGINEER), MathCAD, Arbortext, etc. (visit www.PTC.com for more details on these products).
The current Directors of CADOpt together have more than 30 Years of experience working with PTC Inc., the USA based multinational and the Developers of Creo (Pro/ENGINEER), MathCAD, Arbortext, Windchill and other Technology Solutions that transform the way companies Create and Service Products. The team at CADOpt constitues Mechanical and Software Engineering Professionals who possess highly specialized Technical Consulting and Training skills particularly on Creo (earlier Pro/ENGINEER) suite of [Products/Modules] Applications.

Below are few of the Value Added Services in our portfolio currently:
     ⦁ Implement CAD (Creo or Pro/E) Standards
     ⦁ Build Design Templates (Design Automation)
     ⦁ Create Custom Applications on Creo to remove/reduce non-value added design work
            a. Drawing Inspection Report
            b. Easy Rename of Parts/Assemblies
            c. Bulk Attribute(Parameters) addition to Models
            d. Hole Tables Report/Chart
            e. Bulk Family Table Instances Export (as .prt, .IGES, .STEP,..)
             f. Bulk Model Cleanup
            g. BOM Report Creation
     ⦁ Build & Configure Company Standard Component Libraries and manage in a centralized database
     ⦁ Build Standard Feature (UDF) Library and manage in a centralized database
     ⦁ Validate 3D Model / Assembly / 2D Drawing - using PTC ModelCheck
     ⦁ Design Validation - Creo Simulate(Mechanica) & Mechanisms
     ⦁ Define Best Practices
     ⦁ Define / Improve 3D Modeling Methodologies

Other general Mechanical Engineering Services, in the areas of Product Design and Development, is also considered in our portfolio in specific cases.",India,null,"CADOpt (coined for CAD Optimization/Adoption) - an Organization to provide Value Added Services(Highend Consulting & Training) on PTC's Solutions like Creo (previously Pro/ENGINEER), MathCAD, Arbortext, etc. (visit www.PTC.com for more details on these products).
The current Directors of CADOpt together have more than 30 Years of experience working with PTC Inc., the USA based multinational and the Developers of Creo (Pro/ENGINEER), MathCAD, Arbortext, Windchill and other Technology Solutions that transform the way companies Create and Service Products. The team at CADOpt constitues Mechanical and Software Engineering Professionals who possess highly specialized Technical Consulting and Training skills particularly on Creo (earlier Pro/ENGINEER) suite of [Products/Modules] Applications.

Below are few of the Value Added Services in our portfolio currently:
     ⦁ Implement CAD (Creo or Pro/E) Standards
     ⦁ Build Design Templates (Design Automation)
     ⦁ Create Custom Applications on Creo to remove/reduce non-value added design work
            a. Drawing Inspection Report
            b. Easy Rename of Parts/Assemblies
            c. Bulk Attribute(Parameters) addition to Models
            d. Hole Tables Report/Chart
            e. Bulk Family Table Instances Export (as .prt, .IGES, .STEP,..)
             f. Bulk Model Cleanup
            g. BOM Report Creation
     ⦁ Build & Configure Company Standard Component Libraries and manage in a centralized database
     ⦁ Build Standard Feature (UDF) Library and manage in a centralized database
     ⦁ Validate 3D Model / Assembly / 2D Drawing - using PTC ModelCheck
     ⦁ Design Validation - Creo Simulate(Mechanica) & Mechanisms
     ⦁ Define Best Practices
     ⦁ Define / Improve 3D Modeling Methodologies

Other general Mechanical Engineering Services, in the areas of Product Design and Development, is also considered in our portfolio in specific cases.",CADOpt Technologies Private Limited,null,50 - 200,Information Technology and Services,true,2023-05-14T12:32:30.890Z,null,https://cadopt.com/,null,null,10M - 50M,BianLian,"[""Google Tag Manager"",""WordPress""]",null,2014
6460401fb253cdda64133e27,0,BedfordLodgeHotel,active,"Bedford Lodge Hotel & Spa is a four red star luxury hotel nestled in three acres of manicured gardens in Newmarket, the ancestral home of British horseracing. 

The hotel offers a selection of stylish guest rooms and luxurious suites, an award winning 2 AA rosette restaurant and a modern leisure club.

The luxury 5 bubble rated spa, situated adjacent to the hotel, is the perfect getaway. Enjoy scenic views from the outdoor hot tub, unwind in the hydrotherapy pool or induldge in one of the relaxing ESPA treatments. The extensive spa menu also features Jessica Nails, Mii tanning and make up, as well as results-driven and age-defying treatments. 

Follow us on social media:

Instagram: bedfordlodgehotelspa
Twitter (hotel): @bedfordlodge
Twitter (spa): @SpaBedfordLodge
Facebook (hotel): @BedfordLodgeHotel
Facebook (spa): @thespabedfordlodgehotel",United Kingdom,null,"Bedford Lodge Hotel & Spa is a four red star luxury hotel nestled in three acres of manicured gardens in Newmarket, the ancestral home of British horseracing. 

The hotel offers a selection of stylish guest rooms and luxurious suites, an award winning 2 AA rosette restaurant and a modern leisure club.

The luxury 5 bubble rated spa, situated adjacent to the hotel, is the perfect getaway. Enjoy scenic views from the outdoor hot tub, unwind in the hydrotherapy pool or induldge in one of the relaxing ESPA treatments. The extensive spa menu also features Jessica Nails, Mii tanning and make up, as well as results-driven and age-defying treatments. 

Follow us on social media:

Instagram: bedfordlodgehotelspa
Twitter (hotel): @bedfordlodge
Twitter (spa): @SpaBedfordLodge
Facebook (hotel): @BedfordLodgeHotel
Facebook (spa): @thespabedfordlodgehotel",Bedford Lodge Hotel,null,50 - 200,Hospitality,true,2023-05-14T12:32:36.690Z,52.249464,https://bedfordlodgehotel.co.uk/,0.415052,null,10M - 50M,BianLian,"[""Google DoubleClick"",""Google Tag Manager"",""WordPress""]",null,null
64604025b253cdda64133e28,1,AltstadtHoffmanPlumbing,active,"Altstadt’s highly trained plumbers offer a variety of plumbing services - commercial, industrial, residential, new construction & emergency.",United States,null,"Altstadt’s highly trained plumbers offer a variety of plumbing services - commercial, industrial, residential, new construction & emergency.",Altstadt Hoffman Plumbing,null,null,Construction,true,2023-05-14T12:32:42.488Z,38.011756,https://altstadtplumbing.com/,-87.595917,null,null,BianLian,"[""Google Tag Manager"",""WordPress""]",null,null
6460402bb253cdda64133e29,6,MercyHome,active,"Mercy Home provides homes and services in Brooklyn, Queens and Long Island for people with intellectual and developmental disabilities.",United States,null,"Mercy Home provides homes and services in Brooklyn, Queens and Long Island for people with intellectual and developmental disabilities.",MERCY HOME FOR CHILDREN,382,200 - 500,Religious Institutions,true,2023-05-14T12:32:48.267Z,40.69248,https://www.mercyhomeny.org/,-73.960335,20145319,10M - 50M,BianLian,"[""Shopify""]",null,1971
