country,branches_count,revenue_range,industry,employees_range,year_founded,source
18.0,0.0,-1.0,55.0,-1.0,1969.0,-1.0
22.0,0.0,-1.0,31.0,-1.0,1991.0,-1.0
22.0,0.0,-1.0,95.0,-1.0,1857.0,-1.0
17.0,3.0,-1.0,63.0,-1.0,2003.0,-1.0
60.0,0.0,-1.0,45.0,-1.0,2001.0,-1.0
33.0,0.0,-1.0,-1.0,-1.0,2017.0,-1.0
60.0,0.0,-1.0,18.0,-1.0,1984.0,-1.0
7.0,2.0,-1.0,18.0,-1.0,1997.0,-1.0
60.0,3.0,-1.0,55.0,-1.0,1859.0,-1.0
60.0,2.0,-1.0,14.0,-1.0,2015.0,-1.0
51.0,0.0,-1.0,17.0,-1.0,2002.0,-1.0
5.0,0.0,-1.0,89.0,-1.0,1965.6,-1.0
60.0,0.0,-1.0,38.0,-1.0,2012.0,-1.0
60.0,3.0,-1.0,38.0,-1.0,2012.0,-1.0
60.0,8.0,-1.0,83.0,-1.0,1896.0,-1.0
17.0,0.0,-1.0,18.0,-1.0,2010.0,-1.0
9.0,0.0,-1.0,17.0,-1.0,2008.0,-1.0
60.0,1.0,-1.0,56.0,-1.0,2001.0,-1.0
0.0,0.0,-1.0,33.0,-1.0,1951.0,-1.0
27.0,0.0,-1.0,28.0,-1.0,1991.0,-1.0
22.0,0.0,-1.0,74.0,-1.0,2000.0,-1.0
17.0,16.0,-1.0,100.0,-1.0,1947.0,-1.0
17.0,0.0,-1.0,18.0,-1.0,2010.0,-1.0
60.0,1.0,-1.0,16.0,-1.0,1987.0,-1.0
57.0,0.0,-1.0,76.0,-1.0,1960.4,-1.0
26.0,0.0,-1.0,48.0,-1.0,2006.0,-1.0
29.0,0.0,-1.0,69.0,-1.0,1962.0,-1.0
1.0,0.0,-1.0,0.0,-1.0,1975.0,-1.0
60.0,0.0,-1.0,16.0,-1.0,1986.0,-1.0
60.0,1.0,-1.0,89.0,-1.0,1974.2,-1.0
60.0,5.0,-1.0,55.0,-1.0,1967.0,-1.0
18.0,0.0,-1.0,89.0,-1.0,2011.0,-1.0
