_id,link,last_seen,ispublished,views,deadline,company_name,content,source,branches_count,display_name,country,industry,revenue_range,employees_range,year_founded,description,longitude,latitude,company_status,revenue,employees_count,technologies_used,date_added
,,,,,,http://josefsandsoncarpetcleaning.com,,,0,Josefs And Son Carpet Cleaning,United States,,1M - 10M,10 - 50,,"Fire & flood restoration services along with mold remediation, carpet cleaning, upholstery, smoke damage removal & more in Lynn, Revere, Malden & Saugus, MA.",-71.00257,42.445267,active,,,['Google Analytics'],
,,,,,,http://ateliers.org,,,0,Les Ateliers de Cergy,France,Architecture & Planning,1M - 10M,10 - 50,1982,"Les Ateliers is a non-governmental organization that gathers universities, decision makers and professionals dedicated to planning, development and urban design. Since 1982, les ateliers has been organizing international workshops on topics defined together with local authorities for city or regional planning.

The method consists in gathering students or professionals of different nationalities and different specializations (landscape designers, architects, engineers, economists...), and make them work in different teams that finally present their proposals to an international jury composed of local authorities and international experts.

Each workshop offers to local authorities new and innovative urban development proposals, assessed by the members of the jury and transcribed into a synthesis delivered 2 months after the workshop. These workshops are also a source of training for all the participants, whether they be local or international experts.",,,active,,19,['Google Tag Manager'],
,,,,,,,,,1,Stealth Entry Cyber Security Solutions,United States,Computer & Network Security,1M - 10M,10 - 50,2009,"Stealth Entry, LLC. is certified U.S. Small Business Administration 8(a), Service Disabled Veteran Owned (SDVOSB) and State of Ohio Minority Business Enterprise and Veterans Business Enterprise (MBE/VBE/EDGE) with our main office located in beautiful Westerville Ohio, and satellite offices in Ft Meade MD and Tampa FL.

We’re dedicated to giving you the very best services and enterprise security solutions with a focus on Integrity, Respect, Humility and Dependability. Founded in 2009 by Israel Arroyo, Stealth Entry Cyber Security Solutions has grown into a world class cyber security company with a global customer base. Our passion for our craft in cyber security and information technology,  motivates us everyday to conduct the necessary intense research needed to succeed in corporate America, and gives us the impetus to turn hard work and inspiration into the business it is today. We now serve satisfied customers all over the United States and world, proudly serving industries such as the Department of Defense, local Governments, Insurance, Healthcare, Financial and Retail markets. 

Our mission through top industry talent, strong ethics, and integrity is to become a trusted team member of our clients to provide relevant and actionable solutions and exceptional services as required through security best practice, regulatory compliance and business requirements. Through our work we will consistently exceed expectations to maintain high availability for mission critical business and military systems, government operations, and corporate environments.

Here are just a few of our services:  Cyber Security Engineering, Secure IoT, Secure Blockchain Development, Secure Cloud Architecture and Deployment,  Offensive Cyber Tools Software Development, Systems Engineering, Signals and Communication Analysis, Cyber Security Training.

For more information on Stealth Entry and Stealth Research Labs Feel free to contact us at: 

1-833-423-CYBR or email us at info@stealthentry.com",,,active,,,[],
,,,,,,http://incontact.com,,,6,Incontact Inc,United States,Computer Software,200M - 1B,"1,000 - 5,000",1994,"inContact, Inc. (inContact) is a provider of cloud contact center software solutions. The Company provides a range of cloud contact center call routing, self-service and agent optimization solutions. The Company operates through two business segments: Software and Network connectivity. inContact's Software segment includes the services related to the delivery of its cloud contact center software solutions. Its Network connectivity segment includes the voice and data long distance services provided to customers. It offers its products and services to its customers in approximately five vertical markets, such as customer services and sales business process outsourcers (BPOs), retail and direct response, healthcare providers, utilities, and state and local Government. It provides software, which includes Automatic call distributing, Computer telephony integration, Interactive voice response with speech recognition, Outbound dialer, Screen recording and Interactive reporting tool.",-111.89299,40.575874,active,221990000,1015,"['Amazon Cloudfront', 'Eloqua', 'Google Tag Manager', 'Marketo']",
,,,,,,http://draytek.com,,,0,Draytek Corp,Taiwan,Manufacturing,10M - 50M,200 - 500,1997,"DrayTek Corporation is a Taiwan-based company principally engaged in the research, development, manufacture and sales of wired and wireless communications machinery and telecommunications equipment, as well as the provision of information software services. The Company's main products include routers and others. The Company also provides communication engineering technology consulting and advisory services. The Company distributes its products to Europe, Asia and other markets.",,,active,30623723,240,"['CloudFlare', 'Google Tag Manager']",
,,,,,,http://lowell.org,,,0,Winterfest,United States,Performing Arts,1M - 10M,10 - 50,,"Lowell's Economic Development Office offers a host of incentives and assistance to companies and commercial developers including site selection, workforce development, small business loan programs, traditional and non-traditional finance programs and other areas of technical assistance.",-71.316172,42.633425,active,,,"['Google Analytics', 'Google Tag Manager']",
,,,,,,http://novasystemsuk.com,,,0,NOVA Systems UK,United Kingdom,Aviation & Aerospace,10M - 50M,50 - 200,2012,"Nova Systems is a Professional Service Provider, specialising in the provision of engineering and management services, providing industry and government with world class independent expertise in delivering complex projects and solving technologically challenging problems",,,active,,,['Google Tag Manager'],
,,,,,,http://etranbiz.com,,,0,eTranBiz Global Technologies Pvt Ltd,India,Information Technology and Services,10M - 50M,50 - 200,2009,"eTranBiz is Global IT consulting organization offering High-End Expertise, Solutions and Services based on Oracle Technologies especially in the areas of Oracle Fusion Middleware, Oracle eBusiness Suite and Java/Web Development Technologies.
We offer cost-effective and efficient technology solutions that bring in real benefit to customers through proper leverage, integration and deployment of technologies and products supported by value-added solutions and services.
Through our world-class people, partnerships, services and delivery solutions, we help businesses run smarter. We have deep industry expertise in multiple vertical industries like Retail, Manufacturing, Airlines, IT Services and BPO, Banking, Telecom, Health-Care, Trading Community and other Industry segments.",,,active,,,[],
,,,,,,http://gtt.fr,,,0,Gaztransport et Technigaz SA,France,Civil Engineering,200M - 1B,200 - 500,1984,"Gaztransport et Technigaz SA is a France-based engineering company specialized in containment systems for the shipping and storage in cryogenic conditions of LNG (liquefied natural gas). It offers, together with its subsidiaries, consultancy services, engineering studies, assistance, operations support, membrane tanks maintenance services, digital solutions and training services, among others. The Company is working on new LNG containment technologies, as well as on solutions for use with other liquefied gases, technologies and engineering solutions for the offshore industry, multi-gas carriers, and small and midsize carriers. It also offers new applications for the growing market for LNG as a propulsion fuel. The Company runs its own test laboratory and is actively involved in research via its partnerships with engineering companies, research institutes, laboratories and universities.",,,active,315266388,343,"['Drupal', 'Google Analytics', 'Woopra']",
,,,,,,http://garrowoil.com,,,0,Garrow Oil & Propane,United States,Oil & Energy,1M - 10M,10 - 50,1972,"Garrow Oil & Propane is a locally owned, family-operated business established in 1972. We are classified as a service disabled veteran-owned business or (SDVOSB). William “Woody” Garrow is the president and founder of the company, who started with single truck deliveries of fuel to farmers, construction companies and homes for heating.
After fuel was deregulated by the government in 1981, the first of 20 convenience stores and car washes were opened and a wholesale supply division was formed. In 1985, a CITGO distributorship was purchased, which allowed Garrow Oil & Propane to franchise other convenience stores and start a motor oil and lubricant division.
In 2003, Garrow Oil & Propane extended its distribution network by adding the BP brand. Garrow Oil & Propane now has a distribution network of 100+ convenience stores and truck stops throughout Wisconsin, Michigan and Illinois.
We are licensed wholesalers in nine states and supply fuel to many trucking companies, farms, municipalities and construction companies. We are also a US Coast Guard certified supplier that fuels vessels on the Bay of Green Bay, the Great Lakes and other inland waterways with our fleet and semi-trucks. We are also licensed to install above ground fuel dispensing systems of which we own many to service our customers with gasoline, diesel fuel, motor oils, lubricating oils and propane.
Garrow Propane started as a separate division with one truck and driver, but today we sell propane out of seven remote locations in a 12-county area of Northeast Wisconsin. We have twelve delivery trucks that supply homes, farms, industry and resellers with quality fuel for an array of applications.",-88.41428,44.31641,active,,,"['Google Tag Manager', 'WooCommerce', 'WordPress']",
