_id,link,last_seen,ispublished,views,deadline,company_name,content,source,branches_count,display_name,country,industry,revenue_range,employees_range,year_founded,description,longitude,latitude,company_status,revenue,employees_count,technologies_used
,,,,,,http://albertsonscompanies.com,,,1460,Albertsons Companies Inc,United States,Retail,> 1B,"> 10,000",2015,"Albertsons Companies, Inc. is a food and drug retailer in the United States. As of September 10, 2016, the Company operated 2,320 stores across 35 states and the District of Columbia under 19 banners, including Albertsons, Safeway, Vons, Jewel-Osco, Shaw's, Acme, Tom Thumb, Randalls, United Supermarkets, Pavilions, Star Market, Carrs and Haggen. As of September 10, 2016, the Company operated 122 metropolitan statistical areas in the United States (MSAs). As of September 10, 2016, the Company provided value-added services through 1,785 pharmacies and 382 adjacent fuel centers. As of September 10, 2016, the Company operated 29 dedicated distribution centers and 18 manufacturing facilities. The Company's operations are predominantly located in the Western, Southern, Midwest, Northeast, and Mid-Atlantic regions of the United States. The Company's stores offer grocery products, general merchandise, health and beauty care products, pharmacy, fuel and other items and services.",-116.18337,43.598694,active,,275000,"['Amazon Cloudfront', 'CloudFlare', 'Google Analytics', 'Google Tag Manager', 'Incapsula', 'MaxCDN', 'Varnish', 'Volusion', 'WooCommerce', 'WordPress', 'Zendesk']"
,,,,,,http://snmmi.org,,,0,SOCIETY OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,United States,Nonprofit Organization Management,10M - 50M,50 - 200,1954,"The Society of Nuclear Medicine and Molecular Imaging (SNMMI), headquartered in Reston, VA, is a nonprofit scientific and professional organization that promotes the science, technology and practical application of nuclear medicine and molecular imaging. SNMMI strives to be a leader in unifying, advancing and optimizing molecular imaging, with an ultimate goal of improving human health. With 15,000 members worldwide, SNMMI represents nuclear and molecular imaging professionals, all of whom are committed to the advancement of the field.",-77.331085,38.9478,active,11391451,52,"['AddThis', 'Amazon AWS S3', 'Google Analytics', 'Google DoubleClick', 'Google Tag Manager']"
,,,,,,http://landmarc.com,,,0,"Landmarc Landscaping, Inc.",United States,,0 - 1M,1 - 10,,"Michigan Custom landscape design, installation, and maintenance. Landscaping contractor serving Ann Arbor, Monroe, Bedford Michigan and Toledo Ohio",,,active,,,[]
,,,,,,,,,0,HGC The Harman Group,Canada,Transportation/Trucking/Railroad,10M - 50M,200 - 500,1994,"Incorporated in 1997, HGC The Harman Group proudly operates a fleet of several hundred satellite-tracked units all across North America. We are your go to asset based carrier. 

We specialize in hauling temperature controlled and dry shipments in either Full Truckloads or Less Than Truckloads. The variety of services we offer does not stop there. We also haul stone, sand, gravel and other construction materials. Not only do we haul products, we also offer warehousing, distribution and other logistics services.",,,active,,,[]
,,,,,,http://memorialvillageent.com,,,1,Memorial Village ENT,United States,Hospital & Health Care,1M - 10M,10 - 50,,"Dr. McCutcheon has 20+ years experience providing patient centered ENT care. Call 281-822-3777 to get relief from your sinus, allergy or hearing problems today!",-95.512221,29.783463,active,,,"['Google Analytics', 'Google Tag Manager', 'MaxCDN', 'NewRelic']"
,,,,,,http://abbott.com,,,21,Abbott Laboratories,United States,Pharmaceuticals,> 1B,"> 10,000",1900,"Abbott Laboratories is engaged in the discovery, development, manufacture and sale of a range of healthcare products. The Company operates through four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products and Vascular Products. Its Established Pharmaceutical Products include a range of branded generic pharmaceuticals manufactured around the world and marketed and sold outside the United States. Its Diagnostic Products include a range of diagnostic systems and tests. Its Nutritional Products include a range of pediatric and adult nutritional products. Its Company's Vascular Products include a range of coronary, endovascular, vessel closure and structural heart devices for the treatment of vascular disease. The Company, through St. Jude Medical, Inc., also offers products, such as rhythm management products, electrophysiology products, heart failure related products, vascular products, structural heart products and neuromodulation products.",,,active,31900000000,107000,"['Act-On', 'AddThis', 'CloudFlare', 'Crazy Egg', 'F5 BIG-IP', 'Foresee', 'Google Analytics', 'Google Tag Manager', 'MaxCDN', 'ShareThis', 'Sukuri/Cloudproxy', 'WordPress']"
,,,,,,http://gposolutions.nl,,,0,GPO Solutions,Netherlands,Industrial Automation,1M - 10M,10 - 50,1993,"GPO Solutions ondersteunt sinds 1993 bedrijven in de maakindustrie met het optimaliseren van het productontwikkelproces. Wij ondersteunen onze klanten onder andere in het verkorten van de time-to-market, ontwikkelen van nieuwe producten, aanpassen van bestaande producten voor nieuwe markten, verlagen van product (ontwikkel) kosten, verhogen van product kwaliteit en het optimaliseren van after sales (service) inkomsten. Afhankelijk van uw bedrijfsdoelstellingen inventariseren wij welke bedrijfsprocessen we kunnen optimaliseren met onze Best Practices. Onze oplossingen en dienstverlening richt zich op de optimale ontwikkeling, productie, monitoring, aansturing en after sales (service) van uw producten. De GPO Solutions organisatie kenmerkt zich door een pragmatische en no-nonsense uitvoering van projecten en dagelijkse ondersteuning van onze klanten.

Bij GPO Solutions staat de Business Value voor onze klanten altijd centraal. Dit vertalen wij in een duidelijke en uniforme aanpak voor al onze dienstverlening. Zowel bij projecten als specifieke consultancy zorgen wij voor het helder communiceren van de doelstelling, aanpak, uitvoering en mogelijke vervolgstappen. Veel aandacht besteden wij aan het inventariseren en optimaliseren van uw bedrijfsprocessen om uw bedrijfsdoelstellingen te behalen. Dit doen wij onder andere door onze GPO Value Discovery aanpak. Ook voor optimalisatie van uw engineering (Design) proces hebben wij een praktische aanpak met het uitvoeren van een laagdrempelig Design Assessment.

Naast onze focus op toegevoegde waarde bij het uitvoeren van onze dienstverlening hechten wij veel belang aan proactieve informatievoorziening, kennisoverdracht en het delen van ervaringen met zowel eindgebruikers, managers als directieleden van onze klanten. Wij informeren u graag via diverse evenementen (Webinars, Klantendag, GPO PLM Round Tables en Executive Events), nieuwsbrieven, referentieartikelen en publicaties.",,,active,,37,"['Google Tag Manager', 'WordPress']"
,,,,,,http://gleneagles.com,,,0,Gleneagles Hotels Ltd.,United Kingdom,Hospitality,,,1924,"Visit Gleneagles and experience our luxury hotel, three championship golf courses, spa and the only restaurant in Scotland with two Michelin stars.",,,active,,,"['Google Analytics', 'Google Tag Manager', 'WordPress']"
,,,,,,http://danmarinofoundation.org,,,1,DAN MARINO FOUNDATION INC,United States,Civic & Social Organization,1M - 10M,,1992,"Mission: ""Empowering Individuals with Autism and other Developmental Disabilities.”

The Dan Marino Foundation, Inc., a 501(c) 3 organization was established by Dan and Claire Marino, motivated by their experiences in raising their son, Michael, who is diagnosed with autism.  For over 24 years, the Foundation has been a leader in innovation and change.  The Foundation has raised more than $53 million to create unique and impactful initiatives in the community. 

Looking to Continue Your Education:
Marino Campus is an exciting post-secondary educational opportunity for young adults with autism and other developmental disabilities. If you are ready to make new friends and develop skills for lifelong careers and independence, Marino Campus might be the perfect fit for you! 

Apply at www.MarinoCampus.org

Time to Polish Your Interviewing Skills and Create New Opportunities:
ViTA DMF is the first of its kind-job interviewing software and curriculum crafted specifically for people with autism and other developmental disabilities. Using virtual technology, ViTA DMF immerses the user in a variety of job interview environments where they interact with a diverse set of custom-designed virtual humans.

Bring ViTA to life at your organization by visiting www.ViiTADMF.org

Among these first-of-their-kind initiatives the Dan Marino Foundation started with the Nicklaus Children's Hospital Dan Marino Outpatient Center, the Marino Autism Research Institute, Marino Adapted Aquatics and Summer STEPS Employment Programs.",-80.14365,26.1262,active,4515433,,"['Google Analytics', 'Google Tag Manager', 'WooCommerce', 'WordPress']"
,,,,,,,,,0,Turnberry Isle Miami,United States,Hospitality,10M - 50M,200 - 500,,,-80.13953,25.96091,active,,,[]
,,,,,,http://flexport.com,,,6,Flexport,United States,Transportation/Trucking/Railroad,200M - 1B,"1,000 - 5,000",2013,"Moves freight globally by air, ocean, rail, and truck for the major brands.",-122.419,37.7796,active,,1600,"['Amazon AWS S3', 'Google Analytics', 'Google Tag Manager', 'Optimizely', 'Wingify/Visual Website Optimizer']"
,,,,,,http://euchner-usa.com,,,0,"EUCHNER USA, INC",United States,Wholesale,1M - 10M,10 - 50,1953,"EUCHNER Safety Products consist of Safety Interlock Switches, Safety Relays and Enabling switches. EUCHNER has developed Safety Systems composed of sensors, evaluation and Safety Relays in one solution to meet complex requirements. MGB products are a unique interlocking or guard locking system for robot cells and safety doors on machinery and systems. For non-contact applications, Magnetic coding and RFID coding technologies are available. The CES family of RFID products offers sensors with integrated evaluation. Rope Pull Switches allow for safety along the whole rope length, and standard E-stop buttons are also offered.

EUCHNER Automation Products were born when EUCHNER developed the first multiple limit switch in 1952. EUCHNER also provides precision Single Limit Switches, Single Hole Fixing Limit Switches and Position switches built to the EN 50041 standard. EUCHNER Ident Systems use non-contact RFID technology for identification of products such as tools, product carriers and containers for manufacturing, packaging and logistics.",-76.05646,43.080616,active,,34,"['Google Tag Manager', 'WordPress']"
