_id,branches_count,company_name,company_status,content,country,deadline,description,display_name,employees_count,employees_range,industry,ispublished,last_seen,latitude,link,longitude,revenue,revenue_range,source,technologies_used,views,year_founded,country_type,company_size,last_seen_day,last_seen_month,last_seen_year
645654cf7adef2f79c969d2d,0.0,joysonsafety.com,active,We took 20TB of data from the company and are publishing the name to encourage them to connect and discuss before we post all the data and cause irrepairable damage to the company. Write in tox https://tox.chat/download.html please 3085B89A0C515D2FB124D645906F5D3DA5CB97CEBEA975959AE4F95302A04E1D709C3C4AE9B7,United States,"11 May, 2023 19:57:59 UTC","Joyson Safety Systems is a global leader in mobility safety providing safety-critical components, systems and technology to automotive and non-automotive markets. Joyson Safety Systems is headquartered in Auburn Hills, Michigan, USA, with a global network of more than 50,000 employees in 25 countries. It is a subsidiary of Ningbo Joyson Electronic Corp. (SHA: 600699, “Joyson Electronics”).",Joyson Safety Systems,,,Automotive,True,2023-05-14 06:40:49.480000+00:00,42.660212,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion/post/u7z1hQOC6NG2TNim6453f227cd978,-83.243045,,,lockbit,"[""WordPress""]",5643.0,,usa,big,14,5,2023
645654d37adef2f79c969d2e,4.0,layherna.com,active,"Layher North America is a company that operates in the Construction industry.
It employs 251-500 people and has $50M-$100M of revenue. The company is headquartered in Houston, Texas.",United States,"10 May, 2023 07:41:18 UTC","Layher is the world's largest producer and leading industry innovator of high quality, integrated, modular scaffolding systems. As the originator of the superior integrated Allround System Scaffold and the SpeedyScaf, European frame system, Layher has continued to pace the industry with product development and engineering advances for more than 60 years. Layher products and innovations in scaffolding technology have come to define quality, performance, efficiency, safety and product innovation in modern scaffolding.

Layher provides Allround System scaffold, SpeedyScaf frame scaffolding, roofing, hoardings and protective systems as well as the engineering for Layher products.
Watch Info on YouTube:
http://www.youtube.com/watch?v=y3b6dechfhA",LAYHER INC,,"1,000 - 5,000",Computer Hardware,True,2023-05-14 06:40:49.480000+00:00,29.649757,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion/post/zF8xm8iRd2soCGhM645399dea1572,-95.258255,,200M - 1B,lockbit,"[""Amazon Cloudfront"",""Google Tag Manager"",""Salesforce force.com"",""WordPress""]",5592.0,1986.00s,usa,big,14,5,2023
645654e37adef2f79c969d2f,0.0,fullertonindia.com,active,"Founded in 1994 and headquartered in Mumbai, India, Fullerton India Credit Company Limited provides financial solutions. The Company offers commercial vehicle, home improvement, personal, and property loans.

As a result of a successful attack on this company, we have a huge amount of critical company data in our hands. More than 600 gb. Loan agreements with individuals and legal companies. Status of customer and organizational accounts. Agreements with banks and other financial institutions. Data on international transfers. Financial documents, including sales information. Mail correspondence on important transactions with attachments. Personal data of the company's customers. And much more.",India,"03 May, 2023 19:34:31 UTC","Fullerton India Credit Company Limited is registered as an NBFC - Investment and Credit Company (NBFC-ICC) with the Reserve Bank of India, and a member of SMBC Group. FICC started its India operations in 2007, and is today a leading NBFC with a pan India presence.

Working together with over 12,500 employees, we reach our market by connecting with over 2.3 million customers, be it in cities, towns or villages, right at their doorstep. We penetrate deep inside the market through more than 628 branches, covering 600 towns and approximately 58,000 villages.

Our primary services constitute financing of SME for working capital and growth, personal loans, loans for commercial vehicles and two-wheelers, home improvement loans, loans against property, working capital loans for urban self-employed, loans for rural livelihood advancement, rural housing finance and financing of various rural micro enterprises.

Sumitomo Mitsui Financial Group (SMFG) holds a 74.9% stake in Fullerton India Credit Company Limited and is the holding company of one of the largest global banking and financial service groups, offering a diverse range of financial services including commercial banking, leasing, securities and consumer finance with a heritage exceeding 400 years.

Fullerton Financial Holdings (FFH) holds a 25.1% stake in Fullerton India Credit Company Ltd and is an independently operated strategic and operating investor in financial and related services in emerging markets. Fullerton India Credit Company Limited is a wholly owned subsidiary of Fullerton Financial Holdings Pte. Ltd., which in turn is a wholly owned subsidiary of Temasek Holdings Pte. Ltd., Singapore. Fullerton Financial Holdings invests in financial institutions in emerging markets with its prime focus on Business and Consumer banking.",Fullerton India Credit Company Limited,,"5,000 - 10,000",Financial Services,True,2023-05-14 06:40:49.480000+00:00,,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion/post/sOw2OiRtk9qCFmy76452a93764500,,,> 1B,lockbit,"[""Amazon Cloudfront"",""CloudFlare"",""Google DoubleClick"",""Google Tag Manager""]",11187.0,1994.00s,other,big,14,5,2023
645654e77adef2f79c969d30,0.0,triaflex.at,active,"Welcome to TRIAFLEX
We design the ergonomic living space work!",Austria,"17 May, 2023 15:44:34 UTC",,Triaflex Innovative Sitz-und Gesundheitssysteme,,,Wholesale,False,2023-05-14 06:40:49.480000+00:00,48.297899799999996,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion/post/7D9EvxNCWygjLd1p6452816227077,14.277070000000002,,,lockbit,"[""Google Analytics"",""Google Tag Manager""]",5619.0,,european,big,14,5,2023
645654ea7adef2f79c969d31,0.0,cydsa.com,active,"Cydsa, S.A.B. de C.V., together its subsidiaries, engages in the production and marketing of salt, chlorine, caustic soda, and refrigerant gases in Mexico, the United States, Canada, Central and South America, Asia, and Europe.",Mexico,"08 May, 2023 01:15:09 UTC","Cydsa SAB de CV (Cydsa) is a Mexico-based holding company engaged, through its subsidiaries, in the industrial sector. The Company's business is structured in two divisions: Chemicals and Yarns. The Chemicals Division comprises the production and distribution of such chemicals as refined edible salts, industrial salts, caustic soda, sodium hypochlorite and refrigerant gasses, among others. The Yarns Division mainly specializes in the manufacture and sale of acrylic and cotton threads and fibers for the textile industry. As of December 31, 2011, the Company owned such subsidiaries as Valores Quimicos SA de CV, Sales del Istmo SA de CV, Industria Quimica del Istmo SA de CV and Quimobasicos SA de CV, among others. In February 2013, the Company created a new area of business: Real Estate Development, which aims to identify, develop and capitalize opportunities in the field of real estate development.",Cydsa SAB de CV,1690.0,"1,000 - 5,000",Chemicals,True,2023-05-14 06:40:49.480000+00:00,,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion/post/42EyJ9evhDeMWty46451b59d9c393,,448319548.0,200M - 1B,lockbit,"[""MaxCDN"",""WordPress""]",6274.0,1945.00s,other,big,14,5,2023
645654ed7adef2f79c969d32,0.0,hasenauer-anlagenbau.at,active,"QUALITY IS THE BEST
When it comes to water, heating, cooling, air and climate, we always get to work with fresh wind and full motivation.
We offer the highest professional quality at all levels – from planning to implementation. There is no difference between the large construction site and the bathroom of a private customer – the proverbial Hasenauer quality runs everywhere.
Our customers have relied on this for a long time and we look forward to surprising you every time.",Austria,"16 May, 2023 21:33:59 UTC",,Hasenauer Installations GmbH,,,,False,2023-05-14 06:40:49.480000+00:00,,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion/post/EXbwDjwoFKk6aoHz645181c70d33d,,,,lockbit,"[""Google Tag Manager""]",5844.0,,european,big,14,5,2023
645654ff7adef2f79c969d33,0.0,multimedica.it,active,"The MultiMedica Group First of all there is Ethics. It is not limited to a series of principles to be followed, but constitutes the overall vision of MultiMedica's activities, its mission, its raison d'être. And ethics means putting people and their wellbeing before any other consideration.
We're ready to upload proofs of leak.",Italy,"30 Apr, 2023 22:44:32 UTC","Il nostro obiettivo non si limita ad assicurare dei servizi sanitari di eccellenza, ma salute, intesa come miglioramento della qualità di vita.",MultiMedica Spa,,,Hospital & Health Care,True,2023-05-14 06:40:49.480000+00:00,,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion/post/DvaRp4nVfteoT7Cl6449a95048f88,,,,lockbit,"[""Google Tag Manager"",""WordPress""]",13818.0,1986.00s,european,big,14,5,2023
645655007adef2f79c969d34,2.0,cloud51.com,active,"Cloud 51 Data Solutions focuses on delivering proactive and preventative IT support and service solutions to small businesses locally and nationwide.
It now serves more than 60 companies that have all been hacked. Each company had all their confidential files, financial documents, employees, customers, suppliers downloaded. Copies of passports, SSN, etc. We will publish a list of all the hacked companies in the near future. Each company will be featured in a separate post. Expect, there will be a lot of interesting stuff.",United States,"09 May, 2023 20:20:04 UTC","Founded in 1997, we’ve proudly been serving Greater Akron and Northeast Ohio for 15 years. Area 51 Consulting is an IT solutions company based in Akron, Ohio. Our company focuses on delivering proactive IT support and service solutions to local businesses.

Here at Area 51 Consulting, we pride ourselves on being a very agile IT company with a team driven approach to solving any and all business IT support and service needs. Our utilization of team work, continuing education and formation of excellent partnerships keeps our solutions cutting edge and economical. This allows us to help local businesses gain and retain every bit of productivity from their technology investments.

In 2013, Area 51 Consulting merged with TCI Data Solutions.This merger creates many new opportunities, including an expansion of our team and resources. TCI has had a strong focus on cloud technology and virtual environments with extensive experience providing IT solutions for local medical practices.

Area 51 Consulting works with any and all local small to medium businesses. Below are industries in which we have extensive experience in providing IT service & support to:

 - Medical Offices
 - Accounting Firms
 - Industrial / Manufacturing Companies
 - Non-Profit Organizations
 - Municipalities",Area 51 Data Solutions,,1 - 10,Information Technology and Services,True,2023-05-14 06:40:49.480000+00:00,,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion/post/UAaMf1xX7pQTBkl66451707431edc,,,0 - 1M,lockbit,"[""WordPress""]",7356.0,1997.00s,usa,small,14,5,2023
645655077adef2f79c969d35,0.0,ourrelentlesschurch.com,active,"Relentless Church exists to share the news of Jesus Christ, disciple people, and build the whole person: mind, body & soul.",United States,"03 May, 2023 20:55:14 UTC",WATCH SERMONS WATCH LIVE Prayer/Praise Events Groups Give Watch Live Messages Become A Member Outreach Ministries Store MORE INFO MORE INFO MORE INFO SHOP NOW MORE INFO MORE INFO LEARN MORE,RELENTLESS CHURCH,,,Religious Institutions,True,2023-05-14 06:40:49.480000+00:00,34.847782,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion/post/vbIXQOdwnoAVaE3w644d4bf2e9c40,-82.33927,,,lockbit,"[""WordPress""]",7772.0,2018.00s,usa,big,14,5,2023
645655097adef2f79c969d36,1.0,baysideinteriors.com,active,"Bayside started in 1984 as a Northern California family owned and operated business, offering services in Southern California since 2006. Nearly 40 years later, we have proudly grown to serve customers across the nation and around the globe. Headquartered in the Bay Area since 1984, we credit our continued success to that same family culture we were built on and a dedication to making sure every job is done right, right from the start.",United States,"12 May, 2023 12:30:36 UTC","Contractor specializing in the following: 
- Metal stud framing
- Dry wall
- Taping
- Strut Work
- Clean Rooms
- CAB Design 
- Architectural Specialties
- Access Floors
- Acoustical Ceilings
- Painting

Bayside Interiors, Inc. has secured and completed projects from the West Coast to the East Coast, and around the world.","Bayside Interiors, Inc.",,200 - 500,Construction,False,2023-05-11 20:44:35.056000+00:00,37.517517,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion/post/xdAIIdC3cM9gcKu0644d0decc12ff,-121.94536000000001,,10M - 50M,lockbit,"[""WooCommerce"",""WordPress""]",6467.0,1984.00s,usa,big,11,5,2023
