_id,link,last_seen,ispublished,views,deadline,company_name,content,source,branches_count,display_name,country,industry,revenue_range,employees_range,year_founded,description,longitude,latitude,company_status,revenue,employees_count,technologies_used
,,,,,,http://it.ru,,,0,I.T. Co.,Russian Federation,Computer Software,200M - 1B,"1,000 - 5,000",1990,Группа компаний АйТи,,,active,,,"['Google Analytics', 'Google Tag Manager']"
,,,,,,http://pearsoned.com,,,0,Pearson Embanet,United States,,,,1993,"Shop our online store for online courses, eTexts, textbooks, learning platforms, rental books and so much more.",-87.9817,42.035515,active,,,['Google Tag Manager']
,,,,,,http://atheeb.com,,,0,Atheeb Group,Saudi Arabia,Computer Software,> 1B,"> 10,000",1985,"Atheeb Group is a major diversified group established since 1985, based in Saudi Arabia and operating across the Middle East and in the wider region, Atheeb Group succeeded in the market, and it is in the stage of expanding its business in the region. 

Its business activities focus on Shipping Stevedoring, Medical Services, IT & Telecommunications, Religious tourism, Operations & Maintenance, Real Estate Investment, Contracting, Fund Investment and providing hard ware and services to the Military. 

Atheeb’s Group workforce is about 10,000 people led by a professional and well-qualified management team. They are guided by a clear mission and vision for growth, and a set of core values that include quality, professionalism, highest level of ethics and social responsibility",,,active,,,['MaxCDN']
,,,,,,http://asus.com,,,0,ASUSTek Computer Malaysia,Malaysia,Consumer Electronics,1M - 10M,10 - 50,,"ASUS is a worldwide top-three consumer notebook vendor and maker of the world’s best-selling, most award-winning, motherboards. Driven by innovation and committed to quality, ASUS won 4,256 awards in 2013 and is widely credited with revolutionizing the PC industry with its Eee PC™. Company revenue for 2011 was approximately US$11.9 billion.",,,active,,,"['CloudFlare', 'Crazy Egg', 'Google Tag Manager']"
,,,,,,,,,0,Fike UK,United Kingdom,Mechanical or Industrial Engineering,1M - 10M,10 - 50,1985,"Established in 1945, Fike Corporation is a global leader with an unprecedented reputation for providing the highest quality fire, explosion and pressure relief solutions. The company employs approximately 1000 people, with sales offices across 14 locations (including most of the major European countries) and manufacturing hubs in 4 locations. 

Fike UK is based in Maidstone Kent, specialising in selling and distributing industrial protection systems, oilfield products and pressure relief solutions. 

We offer an extensive range of explosion, fire and overpressure protection equipment and focus on creating cost effective safety solutions which are tailored to your precise situation. Failure for companies to take prevention and protection measures against potential hazards can lead to devastating effects, causing personal injury, damaged equipment, business interruptions and downtime. 

Fike can cater for your explosion protection needs; whether it be passive external venting into a safe area, flameless internal venting or a full EPACO controlled active system with venting, isolation and suppression components to mitigate explosions within a split second.

Our bursting/rupture disc devices offer an affordable, fail-safe solution to problems such as blocked discharges, thermal expansions, runaway exothermic or endothermic chemical reactions, loss of purge gas or coolant. 

Contact Fike today to speak to one of our specialists.",,,active,,17,[]
,,,,,,http://irmaindia.org,,,0,INDIAN REFRACTORY MAKERS ASSOCIATION,India,Civic & Social Organization,,,2014,"Indian Refractory Makers Association - Refractories for Steel, Cement, Glass, Aluminium, Foundry from India",,,active,,,[]
,,,,,,,,,0,CALVERT HALL COLLEGE OF BALTIMORE CITY,United States,Education Management,10M - 50M,50 - 200,1894,,-76.58136,39.38913,active,,192,[]
,,,,,,http://ucf.edu,,,3,University of Central Florida,United States,Higher Education,200M - 1B,"1,000 - 5,000",1963,"Founded in 1963 to provide talent for Central Florida and the growing U.S. space program, UCF has been making an impact on the state, the nation — and outer space — ever since.

With 13 colleges and more than 230 degree programs, your passion lies at one of our campus locations designed to help you succeed. From the main campus in east Orlando to UCF Downtown and Rosen College of Hospitality Management to the Academic Health Sciences Campus, you’ll have the opportunity to learn in the heart of your industry. UCF also has multiple regional locations and fully online programs — including online bachelor’s degrees, online graduate degrees, online certificates and more — to ensure that you can achieve your dreams whenever and wherever you want.

Being part of the UCF alumni family means... being a community. A group of people who have a UCF experience, who care about the university and who want to stay connected to it. Being the voice of UCF alumni. Upholding and creating the traditions of UCF.

We began with 423, and now we are over 340,000 strong. Our UCF experience has altered us. It has stuck with us. It has changed us. We engage the world with spirit and pride. We are passionate. We are enthusiastic. We are dedicated. We inform, educate and inspire. We embrace our inner Knights. We love our alma mater. We bleed black and gold. We are UCF.",-81.203545,28.59737,active,796438450,4879,"['Chartbeat', 'CloudFlare', 'Google Analytics', 'Google Tag Manager', 'MaxCDN', 'ShareThis', 'Varnish', 'WordPress']"
,,,,,,http://yahoo.com,,,0,Yahoo Koubei,China,Computer Software,,,2008,A new welcome to Yahoo. The new Yahoo experience makes it easier to discover the news and information that you care about most. It's the web ordered for you.,,,active,,,"['comScore', 'Foresee', 'Google DoubleClick', 'MarkMonitor', 'Omniture']"
,,,,,,http://vmi.edu,,,0,Virginia Military Institute,United States,Higher Education,50M - 100M,"500 - 1,000",1839,"The nation's oldest state supported, undergraduate military college offering degrees in the engineering, the sciences, humanities and social sciences.

The VMI experience is framed by relevant education within a military environment. It’s an education that develops character, fosters a lifelong appreciation of physical fitness, engenders a sense of responsibility to others, and cultivates the ability to master adversity.

Comment policy: bit.ly/30nc1qg",-79.435737,37.790644,active,86298341,569,['Google Tag Manager']
