_id,link,last_seen,ispublished,views,progress,date_added,deadline,company_name,content,source,branches_count,display_name,country,industry,revenue_range,employees_range,year_founded,description,longitude,latitude,company_status,revenue,employees_count,technologies_used
,,,,,,,,http://nn2.org,,,0,NATIONAL NETWORK OF HEALTH CAREER PROGRAMS,United States,Nonprofit Organization Management,0 - 1M,,,"health care education, professional network, higher education, nursing, allied health, H2P, Health Professions Pathways, TAACCCT grant",-96.03125,41.300934,active,50697,,['WordPress']
,,,,,,,,http://tidiproducts.com,,,4,"TIDI Products, LLC",United States,Medical Devices,200M - 1B,"1,000 - 5,000",1969,"TIDI Products | 3,649 followers on LinkedIn. TIDI Products is deeply committed to supporting caregivers and protecting patients. | TIDI is deeply committed to supporting caregivers and protecting patients.

Our history is rooted in truly understanding the needs of healthcare professionals, then developing progressive solutions that help them deliver the highest quality patient care.

Every user-friendly TIDI innovation helps reduce risks and enhance compliance, allowing caregivers to perform at their very best to ensure optimum patient protection.",-88.48118,44.15146,active,,,"['CloudFlare', 'Google Analytics', 'Google Tag Manager', 'HubSpot']"
,,,,,,,,http://ca.gov,,,38,State of California,United States,Government Administration,> 1B,"> 10,000",1850,"As home to more than 39 million people, California boasts one of the world's largest economies. The ""Golden State"" lies against the Pacific Ocean just north of Mexico and south of Oregon. California is widely known for its pioneers and leaders in technology and film production.",,,active,,,"['AddThis', 'Google Analytics', 'Google Tag Manager', 'MaxCDN', 'Survey Monkey', 'WordPress', 'Zendesk']"
,,,,,,,,http://itakhvac.com,,,0,Itak Heating & Cooling,United States,Individual & Family Services,1M - 10M,10 - 50,,"Serving Howell, NJ area. We specialize in HVAC service, repair and maintenance of Carrier furnaces, AC (A/C), heat pumps, ductless, geothermal for people near me",-74.15019,40.118137,active,,,['Google Tag Manager']
,,,,,,,,http://blueprintcapital.com,,,1,"Blueprint Capital Management, LLC",United States,Investment Management,0 - 1M,1 - 10,2003,"Blueprint Capital Management LLC is a family office based in Austin, TX.  Blueprint was founded by Raj Idnani in 2003.  Blueprint Capital manages investments in alternative investments including hedge funds, private equity, real estate and venture capital.",-97.744545,30.263458,active,,,['Google Analytics']
,,,,,,,,http://ortial.com,,,0,Ortial Technologies,United Kingdom,Computer Hardware,1M - 10M,10 - 50,2013,"Ortial Technologies | 720 followers on LinkedIn. Memory, storage and networking upgrades - Fully compatible, quality assured solutions backed with a global warranty | Ortial Technologies is a leading manufacturer of memory, storage and networking upgrades. Based in the UK, we specialise in server, desktop and notebook memory components, solid state drives and high performance transceiver modules and compatible cables.  Ortial provides industry standard compatible products at a substantial price differential compared to tier one brands.",,,active,,,"['Braintree', 'Google Tag Manager']"
,,,,,,,,http://essentialphoto.co.uk,,,0,Pixapro,United Kingdom,Media Production,1M - 10M,10 - 50,2011,"PIXAPRO | 461 followers on LinkedIn. One-Stop Solution for photo & video need. Our commitment will never change to serve everyone in photo & video industry.  | We are EssentialPhoto, a one-stop solution to all of your photographic and videography needs. 
Based in the UK, we serve everyone from the hobbyist, to professionals, with multiple payment options available.

Our experts work closely with our buyers from many industries to help formulate the right lighting solutions.",-1.949069,52.413743,active,,,"['LiveChatInc', 'Shopify']"
,,,,,,,,http://noblesys.com,,,2,Noble Systems Corporation,United States,Computer Software,100M - 200M,"500 - 1,000",1989,"Noble Systems Corporation (NSC) is a world leader in the customer contact technology arena, offering the industry's most comprehensive and affordable customer interaction management (CIM) solutions. Noble Systems specializes in providing companies with flexible, customizable contact center software and hardware.",-84.342445,33.933052,active,,,"['Google Tag Manager', 'Pardot', 'Salesforce force.com']"
,,,,,,,,http://flooringstores.com,,,0,FlooringStores,United States,Retail,10M - 50M,50 - 200,,FlooringStores is the most trusted online destination in flooring. We help consumers find products from verified flooring retailers & manufacturers.,,,active,,,[]
,,,,,,,,http://hthackney.com,,,12,HT Hackney,United States,Food & Beverages,> 1B,"1,000 - 5,000",1891,"Founded in 1891, HT Hackney distributes tobacco products, grocery items, snacks and beverages to convenience and drug stores, supermarkets, restaurants, travel centers, and smoke and gift shops. Through its subsidiaries, HT Hackney also has interests in oil distribution, furniture manufacturing and assembly, retail automation systems and natural spring water.",-83.91817,35.965042,active,3950000000,3400,"['CloudFlare', 'Google Analytics', 'Google Tag Manager', 'MaxCDN', 'WordPress']"
,,,,,,,,,,,0,Cooper Menvier SAS,France,,,,1999,,,,active,,,[]
,,,,,,,,http://mcphersongc.com,,,2,"McPherson Contractors, Inc.",United States,Construction,10M - 50M,50 - 200,1972,,-95.7437,39.00433,active,,115,['Google Analytics']
,,,,,,,,http://griffithandbixler.com,,,0,"Griffith & Bixler, Inc.",United States,Retail,1M - 10M,,1946,Find your photos and your photographer’s website online with PhotoReflect,-75.99817,40.24574,active,9606000,,['Google Analytics']
,,,,,,,,,,,1,Bruce Dental,United States,Hospital & Health Care,0 - 1M,1 - 10,,,-118.397902,34.023415,active,,,[]
,,,,,,,,http://uei.edu,,,0,UEI College-Fresno,United States,Higher Education,10M - 50M,50 - 200,,"UEI offers vocational and trade program training in California, Arizona, and Georgia. For over 35 years, we have focused on in-demand career training that can be completed in as little as 10 months. Financial aid is available for those who qualify. Learn more today.",-119.72644,36.768543,active,15381000,62,"['Google Tag Manager', 'Wingify/Visual Website Optimizer', 'WordPress']"
,,,,,,,,http://craigslist.org,,,0,"Craigslist, Inc.",United States,Computer Software,10M - 50M,50 - 200,1995,"craigslist - a place to buy, sell, rent, hire, share, meet, swap, discuss, find, serve, connect, give away, announce, work, collect, care, perform, learn, marvel, mentor, befriend, fall in love, and/or save the world.",-122.46622,37.76261,active,,71,"['Gravatar', 'Polldaddy', 'WordPress']"
,,,,,,,,,,,0,Bethany Lutheran Village,United States,,,,,,-84.15717,39.654644,active,,,[]
,,,,,,,,http://dol.gov,,,1,DEPARTMENT OF LABOR,United States,Primary/Secondary Education,> 1B,"> 10,000",,"The Department of Labor administers a variety of federal labor laws to guarantee workers' rights to fair, safe, and healthy working conditions, including minimum hourly wage and overtime pay, protection against employment discrimination, and unemployment insurance.",,,active,,17450,"['Crazy Egg', 'Drupal', 'Google Tag Manager']"
,,,,,,,,http://natureetdecouvertes.com,,,0,Nature & Découvertes SA,France,Retail,,,1990,"Retrouvez nos Soldes, profitez du Click & Collect 1h gratuit et de la livraison offerte dès 49 euros* 10% de nos bénéfices nets reversés à notre Fondation.",,,active,,,['WordPress']
,,,,,,,,http://qualityairinc.com,,,0,"Quality Air, Inc.",United States,Construction,10M - 50M,200 - 500,1968,"Quality Air was established in 1968 and has served West Michigan with distinction ever since. Currently, we have 270+ employees and offices in Grand Rapids, Kalamazoo, Holland, and Lansing. Quality Air is a full-service HVAC mechanical contractor specializing in commercial and industrial HVAC systems design, construction, energy services, and maintenance service for the life of your building. Our main Grand Rapids office boasts over 48,000 square feet and sports a large, full service fabrication shop, and also a cutting edge engineering and building automation design group with over 120 years of combined experience.

At Quality Air we know that it takes high quality, highly experienced people to provide the exceptional HVAC solutions you expect. More than half of our employees have 12+ years tenure, creating a strong professional foundation and stability for our company that is world class.",,,active,,,['Google Analytics']
,,,,,,,,http://sbcounty.gov,,,27,County of San Bernardino,United States,Government Administration,50M - 100M,200 - 500,1837,"San Bernardino County STORM UPDATES Report issues, find plowing schedules, road closures, weather reports, webcams, & much more. Public Works Snow Info. San Bernardino County News Now – February Edition...",-117.28542999999999,34.109957699999995,active,,350,"['F5 BIG-IP', 'Google Analytics', 'Google Tag Manager', 'WordPress']"
,,,,,,,,http://americana-group.com,,,0,AMERICANA GROUP LLC,United States,Hospital & Health Care,0 - 1M,1 - 10,2003,"Americana Group is the leading Restaurants & Foods company in MENA operating in 20 countries and has over 2,000 branches & 29 food production sites",-118.16337,34.70194,active,,4,"['CloudFlare', 'Google Tag Manager', 'WordPress']"
,,,,,,,,http://newtimescargo.com,,,0,New Times International Transport Service Co. Ltd,China,Package/Freight Delivery,,,1992,"新时代国际运输服务有限公司 NTS global logistics, international transportation & supply chain management services.(Beijing)",,,active,,,[]
,,,,,,,,http://owa.de,,,0,Odenwald Faserplattenwerk GmbH,Germany,Wholesale,,,1948,"OWA stands for customised ceiling systems, ceiling tiles and substructures. We have been producing and selling suspended ceilings for over 70 years.",,,active,,,"['Drupal', 'Google Analytics']"
,,,,,,,,http://generalmills.com,,,12,General Mills Inc.,United States,Food Production,> 1B,"> 10,000",1928,"General Mills, Inc., is a manufacturer and marketer of branded consumer foods and pet food products sold through retail stores. The Company is a supplier of branded and unbranded consumer food products to the North American foodservice and commercial baking industries. It also provides pet food products through its subsidiary Blue Buffalo Pet Products Inc. The Company has four segments: U.S. Retail, International, Pet operating, and Convenience Stores and Foodservice. The Company offers a range of food products with a focus on categories, including ready-to-eat cereal; convenient meals, including meal kits, ethnic meals, pizza, soup, side dish mixes, frozen breakfast and frozen entrees; snacks, including grain, nutrition bars and frozen hot snacks; yogurt, and super-premium ice cream. The Company's other product categories include baking mixes and ingredients, and refrigerated and frozen dough. It also provides food products for dogs and cats.",,,active,16770000000,40000,"['Amazon Cloudfront', 'CloudFlare', 'Google Analytics', 'Google Tag Manager', 'Mixpanel', 'Salesforce force.com', 'Salesforce Live Agent', 'Salesforce salesforce.com', 'WordPress']"
,,,,,,,,http://cdwerc.org,,,0,CAPITAL DISTRICT WOMENS EMPLOYMENT & RESOURCE CENTER INC,United States,Civic & Social Organization,0 - 1M,1 - 10,1988,"The Capital District Women's Employment & Resource Center, Inc. (WERC) works to advance women's success in the workplace by building their economic and personal independence. Since 1988, WERC has provided quality workforce development services to more than 10,000 women from throughout the Capital Region. WERC helps women who have lost their source of income upon the death, divorce, separation, disability, or dislocation of a spouse, or who are single mothers, transition back to the workplace. 

The training program is designed to prepare individuals with the skills necessary to successfully obtain employment and advance in their careers. A variety of industries in the Capital Region which include the financial, insurance, healthcare, communications, and utilities fields regularly seek qualified candidates who can offer the highest level of service to their customers, assuring customer retention and growth. the vision is empowered, confident women succeeding without boundaries. 

In 2020, The Women's Fund of the Capital Region (WFCR) became a program of WERC. WFCR provides funding and support through partnerships with local educational institutions to financially insecure and non-traditional female students in the Greater Capital Region. The vision is a community where all women are empowered through education to be self-sufficient and fulfill their potential.",-73.7686,42.66137,active,276963,7,"['Google Tag Manager', 'MaxCDN']"
,,,,,,,,http://alisoft.com,,,0,"DAZHONG Investment Co., ltd.",China,,1M - 10M,10 - 50,,"DAZHONG Investment Co., ltd., WENLING",,,active,,,['WordPress']
,,,,,,,,http://lausd.net,,,15,LOS ANGELES UNF,United States,Primary/Secondary Education,> 1B,"> 10,000",1853,Employment Job Postings,-118.256905,34.0562,active,8314608000,63286,"['CloudFlare', 'Google Analytics', 'Google Tag Manager', 'Wistia', 'Zendesk']"
,,,,,,,,http://nyu.edu,,,1,New York University School of Law,United States,Higher Education,,,1835,"This is the official New York University School of Law page. Founded in 1835, New York University School of Law has a record of academic excellence and national scholarly influence. One of the first law schools to admit women, it has been long committed to welcoming students of diverse backgrounds, people who had been discriminated against by many other institutions.

Located on the NYU campus in Greenwich Village, NYU Law has been a leader, and continues to be, in areas such as law and business, clinical education, public service, interdisciplinary colloquia and global studies. NYU Law has a range of signature scholarship programs that provide not only full tuition, but also intensive mentoring to develop tomorrow’s leaders.",,,active,,,"['Crazy Egg', 'Drupal', 'Google Tag Manager', 'NewRelic']"
