_id,branches_count,company_name,company_status,content,country,date_added,deadline,description,display_name,employees_count,employees_range,industry,ispublished,last_seen,latitude,link,longitude,revenue,revenue_range,source,technologies_used,views,year_founded
646030aa4083ee47cba0e29c,0,Germany,active,"Germany Trade & Invest is the foreign trade and inward investment agency of the Federal Republic of Germany.  Germany Trade & Invest’s mission is to promote Germany as a location for industrial and technological investments and to identify investors for the German market. The organization advises foreign companies looking to expand their business activities in the German market. 

All inquiries relating to Germany as a business location are treated confidentially. All investment services and related publications are free of charge.

Imprint: http://www.gtai.com/imprint
Privacy Policy: https://www.gtai.de/gtai-en/meta/privacy-policy",Germany,2023-05-10T00:00:00.000Z,2023-05-19T00:00:00.000Z,"Germany Trade & Invest is the foreign trade and inward investment agency of the Federal Republic of Germany.  Germany Trade & Invest’s mission is to promote Germany as a location for industrial and technological investments and to identify investors for the German market. The organization advises foreign companies looking to expand their business activities in the German market. 

All inquiries relating to Germany as a business location are treated confidentially. All investment services and related publications are free of charge.

Imprint: http://www.gtai.com/imprint
Privacy Policy: https://www.gtai.de/gtai-en/meta/privacy-policy",Germany Trade & Invest,572,"500 - 1,000",International Trade and Development,false,2023-05-14T09:44:31.979Z,null,www.gtai.de,null,null,50M - 100M,Play News,"[""Varnish""]",1036,2009
646030b04083ee47cba0e29d,0,JPMaguire&Associates,active,"JP Maguire Associates provides high quality restoration services to residential, commercial, and municipal property owners throughout Connecticut.",United States,2023-05-10T00:00:00.000Z,2023-05-19T00:00:00.000Z,"JP Maguire Associates provides high quality restoration services to residential, commercial, and municipal property owners throughout Connecticut.",JP Maguire Associates Inc.,45,10 - 50,Construction,false,2023-05-14T09:44:38.212Z,41.582314,www.jpmaguire.com,-73.06492,null,1M - 10M,Play News,"[""Amazon AWS S3"",""PayPal"",""WordPress""]",1036,1982
646030b64083ee47cba0e29e,0,SauerbruchHutton,active,"Sauerbruch Hutton is an architecture practice based in Berlin, Germany.",Germany,2023-05-10T00:00:00.000Z,2023-05-19T00:00:00.000Z,"Sauerbruch Hutton is an architecture practice based in Berlin, Germany.",Sauerbruch hutton Architekten,null,null,Architecture & Planning,false,2023-05-14T09:44:43.996Z,null,www.sauerbruchhutton.de,null,null,null,Play News,"[""Google Analytics""]",915,null
646030bc4083ee47cba0e29f,0,KLCNetworkServices,active,"KLC Network Services, Incorporated is an SBA business based in Herndon, Virginia that provides technical solutions to our valued customers. Working closely with our associate service disabled, veteran owned small business (SDVOSB) company, RBG Technologies, Incorporated, we strive to continuously improve customer satisfaction by providing practical, responsive, and secure solutions.

WHO WE ARE

Founded in 2001, KLC Network Services, Incorporated is an SBA business based in Herndon, Virginia comprised of professional technologists, analysts, and engineers dedicated to the success of the US security, defense and intelligence mission world-wide. 

KLC started as an Information Technology and Audio Visual Company and has since expanded its offerings to include Software Engineering, Digital Forensics, Cyber and Analytic Solutions. We have enjoyed many years of success owed largely to a combination of highly-skilled and motivated staff, sensible business practices and maintaining positive lines of communications with our valued customers. 

Since 2007, KLC and RGB Technologies, Incorporated have been working closely together providing solutions to our customers.

OUR MISSION

KLC Network Services, Inc. and RGB Technology Inc. provide superior Software Tool and Application Development, Database Architectures, Audio Visual Engineering, Counterintelligence Analysis, Biometric Identity Intelligence (I2), and Digital Forensic services with an emphasis on Multimedia Exploitation, Computer Network Operations (CNO), Identity Attributes, Big Data Computing, and Virtual platforms for Federal, State and DoD customers.

OUR VALUES

Committed to partnering in our customer’s success through technical excellence:

-Superior Technical Staff
-Evolving Technical Skills
-Attention to Specification
-Budgetary Performance
-Customer Best Value",United States,2023-05-09T00:00:00.000Z,2023-05-18T00:00:00.000Z,"KLC Network Services, Incorporated is an SBA business based in Herndon, Virginia that provides technical solutions to our valued customers. Working closely with our associate service disabled, veteran owned small business (SDVOSB) company, RBG Technologies, Incorporated, we strive to continuously improve customer satisfaction by providing practical, responsive, and secure solutions.

WHO WE ARE

Founded in 2001, KLC Network Services, Incorporated is an SBA business based in Herndon, Virginia comprised of professional technologists, analysts, and engineers dedicated to the success of the US security, defense and intelligence mission world-wide. 

KLC started as an Information Technology and Audio Visual Company and has since expanded its offerings to include Software Engineering, Digital Forensics, Cyber and Analytic Solutions. We have enjoyed many years of success owed largely to a combination of highly-skilled and motivated staff, sensible business practices and maintaining positive lines of communications with our valued customers. 

Since 2007, KLC and RGB Technologies, Incorporated have been working closely together providing solutions to our customers.

OUR MISSION

KLC Network Services, Inc. and RGB Technology Inc. provide superior Software Tool and Application Development, Database Architectures, Audio Visual Engineering, Counterintelligence Analysis, Biometric Identity Intelligence (I2), and Digital Forensic services with an emphasis on Multimedia Exploitation, Computer Network Operations (CNO), Identity Attributes, Big Data Computing, and Virtual platforms for Federal, State and DoD customers.

OUR VALUES

Committed to partnering in our customer’s success through technical excellence:

-Superior Technical Staff
-Evolving Technical Skills
-Attention to Specification
-Budgetary Performance
-Customer Best Value","KLC NETWORK SERVICES, INC.",null,50 - 200,Defense & Space,false,2023-05-14T09:44:49.789Z,38.95506,www.klcnetworks.com,-77.38468,null,10M - 50M,Play News,[],1299,2001
646030c14083ee47cba0e2a0,0,Vocalcom,active,"Connect with your customers wherever they are, through any communication channel with Vocalcom Cloud Contact Center Solutions.
 
Created in 1995, Vocalcom is a provider and world leader of omnichannel cloud contact center software solutions for customer service, sales/telemarketing, and debt collection. Our award-winning solution helps businesses deliver effortless omnichannel customer experiences - across voice, email, webforms, chat, instant messaging and social media - and drive more effective outbound call campaigns.
 
Give your agents a more comfortable set-up and reduce the need for training with a contact center solution featuring a highly intuitive, unified interface and a comprehensive overview of the customer journey across all communication channels. 
 
Vocalcom’s open platform easily integrates with your CRM and business applications to boost your productivity and give your customers a richer and more personalized experience. Additionally, our unique CTI solution developed natively in Salesforce makes it easy to manage your contact center and all your omnichannel customer interactions in Salesforce.
 
Spanning 47 countries and 5 continents, Vocalcom is trusted by more than 1,400 customers to orchestrate over 1 billion customer interactions per year in the cloud and on-premise. Vocalcom's customers include HSBC, Axa, Comdata, Renault, BNP, Nespresso, FC Barcelona, Vodafone, Allianz, Office Depot and many more.

#callcenter #contactcenter #cloud #omnichannel #cti #customerexperience #customerengagement #customersatisfaction #customerservice #telesales #collections #inboundcall #outboundcall #dialer #productivity #salesforce 
#salesforcecti",France,2023-05-03T00:00:00.000Z,2023-05-11T00:00:00.000Z,"Connect with your customers wherever they are, through any communication channel with Vocalcom Cloud Contact Center Solutions.
 
Created in 1995, Vocalcom is a provider and world leader of omnichannel cloud contact center software solutions for customer service, sales/telemarketing, and debt collection. Our award-winning solution helps businesses deliver effortless omnichannel customer experiences - across voice, email, webforms, chat, instant messaging and social media - and drive more effective outbound call campaigns.
 
Give your agents a more comfortable set-up and reduce the need for training with a contact center solution featuring a highly intuitive, unified interface and a comprehensive overview of the customer journey across all communication channels. 
 
Vocalcom’s open platform easily integrates with your CRM and business applications to boost your productivity and give your customers a richer and more personalized experience. Additionally, our unique CTI solution developed natively in Salesforce makes it easy to manage your contact center and all your omnichannel customer interactions in Salesforce.
 
Spanning 47 countries and 5 continents, Vocalcom is trusted by more than 1,400 customers to orchestrate over 1 billion customer interactions per year in the cloud and on-premise. Vocalcom's customers include HSBC, Axa, Comdata, Renault, BNP, Nespresso, FC Barcelona, Vodafone, Allianz, Office Depot and many more.

#callcenter #contactcenter #cloud #omnichannel #cti #customerexperience #customerengagement #customersatisfaction #customerservice #telesales #collections #inboundcall #outboundcall #dialer #productivity #salesforce 
#salesforcecti",VocalCom S.A.,null,200 - 500,Computer Software,true,2023-05-14T09:44:55.604Z,null,www.vocalcom.com,null,null,50M - 100M,Play News,"[""Amazon Cloudfront"",""CloudFlare"",""Google DoubleClick"",""Google Tag Manager"",""Marketo"",""MaxCDN"",""Salesforce force.com"",""Salesforce salesforce.com"",""Wistia"",""WordPress""]",2412,1995
646030c74083ee47cba0e2a1,1,NegmaBusinessSolutions,active,"Founded in 1996, Negma Business Solutions, Inc. has been leading the way, providing businesses with expertly designed, secured, and dedicated infrastructures to house company networking and cloud equipment in a state-of-the-art, secured, multi-carrier facility, offering customers colocation and managed hosting solutions that are customized to meet the most demanding of requirements.

As a boutique service, we have made our reputation on quality and customer service--insuring that our clientele experiences the best in 24/7 support and accessibility to our system architects, thought leaders and support staff.

A few of our specialties:
• managed colocation
• fully managed servers
• cloud computing/virtual private servers
• exhaustive system monitoring
• network security
• firewall and intrusion prevention services
• IT and desktop support services
• customizable solutions

Compliance: SSAE16, PCI, HIPAA, GLBA",United States,2023-05-03T00:00:00.000Z,2023-05-11T00:00:00.000Z,"Founded in 1996, Negma Business Solutions, Inc. has been leading the way, providing businesses with expertly designed, secured, and dedicated infrastructures to house company networking and cloud equipment in a state-of-the-art, secured, multi-carrier facility, offering customers colocation and managed hosting solutions that are customized to meet the most demanding of requirements.

As a boutique service, we have made our reputation on quality and customer service--insuring that our clientele experiences the best in 24/7 support and accessibility to our system architects, thought leaders and support staff.

A few of our specialties:
• managed colocation
• fully managed servers
• cloud computing/virtual private servers
• exhaustive system monitoring
• network security
• firewall and intrusion prevention services
• IT and desktop support services
• customizable solutions

Compliance: SSAE16, PCI, HIPAA, GLBA","neGma Business Solutions, Inc",null,1 - 10,Information Technology and Services,true,2023-05-14T09:45:01.405Z,null,www.negma.net,null,null,0 - 1M,Play News,"[""Amazon Cloudfront"",""Google Tag Manager"",""Gravatar"",""PayPal"",""WordPress""]",2370,1996
646030ca4083ee47cba0e2a2,null,CommunedeSaxon,null,null,Switzerland,2023-05-03T00:00:00.000Z,2023-05-12T00:00:00.000Z,null,null,null,null,null,true,2023-05-14T09:45:07.205Z,null,www.saxon.ch,null,null,null,Play News,[],2371,null
646030ce4083ee47cba0e2a3,null,LibraVirtua,null,null,Hungary,2023-05-03T00:00:00.000Z,2023-05-11T00:00:00.000Z,null,null,null,null,null,true,2023-05-14T09:45:10.616Z,null,www.libravirtua.hu,null,null,null,Play News,[],2504,null
646030d44083ee47cba0e2a4,0,DGC,active,"DGC One AB is a Sweden-based network operator, focusing on communication services based on Internet protocol and virtual private network (IP-VPN). The Company develops and markets communication solutions, including outsourcing and telephony services, primarily to corporate customers. Its activities are divided into four business segments: Data Communications, which specializes in the provision of IP-VPN solutions; Information Technology (IT) Operations, providing a range of services, such as systems management, scalable capacity, outsourcing, as well as consulting; Telephony, offering switchboard services, and call center solutions, among others; and Hardware, which is responsible for the sale of personal computers (PCs), servers, licenses and telephone equipment. Furthermore, the Company is a parent of DGC Access AB and DGC Products AB, as well as the part of EQT Group.",Sweden,2023-05-03T00:00:00.000Z,2023-05-11T00:00:00.000Z,"DGC One AB is a Sweden-based network operator, focusing on communication services based on Internet protocol and virtual private network (IP-VPN). The Company develops and markets communication solutions, including outsourcing and telephony services, primarily to corporate customers. Its activities are divided into four business segments: Data Communications, which specializes in the provision of IP-VPN solutions; Information Technology (IT) Operations, providing a range of services, such as systems management, scalable capacity, outsourcing, as well as consulting; Telephony, offering switchboard services, and call center solutions, among others; and Hardware, which is responsible for the sale of personal computers (PCs), servers, licenses and telephone equipment. Furthermore, the Company is a parent of DGC Access AB and DGC Products AB, as well as the part of EQT Group.",DGC One AB,251,200 - 500,Telecommunications,true,2023-05-14T09:45:14.028Z,null,www.dgc.se,null,86725198,50M - 100M,Play News,"[""CloudFlare"",""Google Tag Manager""]",2443,1987
646030d94083ee47cba0e2a5,4,CityofLowell,active,"A crossroad of commerce and creativity, the City of Lowell is a diverse urban environment. Named one of the best places to live by Boston Magazine, the City is characterized by its established arts community, distinct residences and commercial vitality.  The fourth largest city in the Commonwealth of Massachusetts, Lowell is home to an eclectic mix of cultural attractions and events including the Lowell Folk Festival, Lowell National Historical Park, Lowell Memorial Auditorium and the Tsongas Arena.  A leader in urban redevelopment, Lowell offers a variety of residential and commercial space from renovated mills to modern high-rises.  Strategically located at the intersections of Routes 495, 93 and 3, Lowell has established itself as a leading business and entertainment destination throughout Massachusetts and Greater New England.",United States,2023-05-03T00:00:00.000Z,2023-05-11T00:00:00.000Z,"A crossroad of commerce and creativity, the City of Lowell is a diverse urban environment. Named one of the best places to live by Boston Magazine, the City is characterized by its established arts community, distinct residences and commercial vitality.  The fourth largest city in the Commonwealth of Massachusetts, Lowell is home to an eclectic mix of cultural attractions and events including the Lowell Folk Festival, Lowell National Historical Park, Lowell Memorial Auditorium and the Tsongas Arena.  A leader in urban redevelopment, Lowell offers a variety of residential and commercial space from renovated mills to modern high-rises.  Strategically located at the intersections of Routes 495, 93 and 3, Lowell has established itself as a leading business and entertainment destination throughout Massachusetts and Greater New England.",City of Lowell,null,"1,000 - 5,000",Government Administration,true,2023-05-14T09:45:19.834Z,null,www.lowellma.gov,null,null,200M - 1B,Play News,"[""CloudFlare"",""Google Analytics"",""Google Tag Manager"",""HubSpot""]",2407,1836
